,song,artist,cp,section,Track (last.fm),Artist (last.fm),Listener Count (last.fm),Play Count (last.fm),Genre (last.fm),Track (Spotify),Artist (Spotify),Popularity (Spotify),Release Date (Spotify)
17,Just What I Needed,The Cars,"1,5,4,6",Chorus,Just What I Needed,The Cars,326191,1609136,"new wave, 80s, rock, classic rock, pop",Just What I Needed,The Cars,73.0,1978-06-06
18,Cinema Remix,Skrillex,"1,5,4,6",Verse and Pre-Chorus,Cinema Remix,Skrillex,389,2931,,,,,
19,Behind These Hazel Eyes,Kelly Clarkson,"1,5,4,6",Verse and Pre-Chorus,Behind These Hazel Eyes,Kelly Clarkson,476212,2757654,"pop, Kelly Clarkson, rock, pop rock, female vocalists",Behind These Hazel Eyes,Kelly Clarkson,62.0,2004-01-17
20,All We've Got,The Begging Sea,"1,5,4,6",Chorus,All We've Got,The Begging Sea,23,337,,,,,
21,Rapture - Avicii Remix,Nadia Ali,"1,5,4,6",Chorus,Rapture - Avicii remix,Nadia Ali,4,16,,,,,
22,Sensurround,They Might Be Giants,"1,5,4,6",Verse and Pre-Chorus,SenSurround,They Might Be Giants,2371,14208,"rock, alt rock, repeatrepeatrepeat, 4 of 10 stars, tmbg",,,,
23,KV Crimes,Kurt Vile,"1,5,4,6",Chorus,KV Crimes,Kurt Vile,96165,460002,"folk rock, 10s, indie, rock, alternative",KV Crimes,Kurt Vile,42.0,2013-04-08
24,In Tenderness,Citizens,"1,5,4,6",Intro,In Tenderness,Citizens,5386,32185,"christian alternative, mars hill, worship and devotion",In Tenderness,Citizens,48.0,2013-03-12
25,Timber feat Kesha,Pitbull,"1,5,4,6",Chorus Lead-Out,Timber feat Kesha,Pitbull,29,219,,,,,
26,Applaus Applaus,Sportfreunde Stiller,"1,5,4,6",Chorus,"applaus, applaus",Sportfreunde Stiller,17993,125104,"deutsch, german, pop, indie, rock",,,,
27,Counting Stars,OneRepublic,"1,5,4,6",Verse and Pre-Chorus,Counting Stars,OneRepublic,672440,7025107,"pop rock, rock, pop, love at first listen, melancholic",Counting Stars,OneRepublic,75.0,2014-01-01
28,Counting Stars,OneRepublic,"1,5,4,6",Chorus,Counting Stars,OneRepublic,672440,7025107,"pop rock, rock, pop, love at first listen, melancholic",Counting Stars,OneRepublic,75.0,2014-01-01
29,Through the Fire and Flames,Dragonforce,"1,5,4,6",Chorus,Through the Fire and Flames,DragonForce,379008,3254655,"Power metal, speed metal, metal, Extreme Power Metal, DragonForce",Through the Fire and Flames,DragonForce,4.0,2017-12-20
30,National Anthem,Lana Del Rey,"1,5,4,6",Intro,National Anthem,Lana Del Rey,597470,7573780,"indie pop, indie, pop, female vocalists, Lana Del Rey",National Anthem,Lana Del Rey,61.0,2012-11-12
31,National Anthem,Lana Del Rey,"1,5,4,6",Chorus,National Anthem,Lana Del Rey,597470,7573780,"indie pop, indie, pop, female vocalists, Lana Del Rey",National Anthem,Lana Del Rey,61.0,2012-11-12
32,Enjoy the Ride,Krewella,"1,5,4,6",Pre-Chorus,Enjoy the Ride,Krewella,59179,337184,"electronic, dance, pop, House, dubstep",Enjoy the Ride,Krewella,53.0,2013-09-20
33,Enjoy the Ride,Krewella,"1,5,4,6",Chorus,Enjoy the Ride,Krewella,59179,337184,"electronic, dance, pop, House, dubstep",Enjoy the Ride,Krewella,53.0,2013-09-20
34,Harvest of Sorrow,Blind Guardian,"1,5,4,6",Chorus,Harvest of Sorrow,Blind Guardian,41652,331889,"Power metal, metal, Ballad, Blind Guardian, acoustic",,,,
35,Castles Made of Sand,Jimi Hendrix,"1,5,4,6",Verse,Castles Made of Sand,Jimi Hendrix,350144,1495756,"classic rock, rock, psychedelic, 60s, blues",Castles Made of Sand,Jimi Hendrix,62.0,1967-12-01
36,Ai -'ation-,UNiTE,"1,5,4,6",Verse and Pre-Chorus,Ai -'ation-,UNITE,3,6,,,,,
37,I Knew You Were Trouble,Taylor Swift,"1,5,4,6",Bridge,I Knew You Were Trouble,Taylor Swift,264217,3314807,"pop, female vocalists, taylor swift, country, guilty pleasure",,,,
38,Timber Ft Kesha,Pitbull,"1,5,4,6",Chorus,Timber Ft Kesha,Pitbull,16,179,,,,,
39,Timber,Pitbull feat Kesha,"1,5,4,6",Chorus,Timber,Pitbull,389407,2793526,"pop, dance, party, timber, 2013",Timber,Pitbull,61.0,2012
40,It All Makes Sense at the End,Hank Green,"1,5,4,6",Verse,It All Makes Sense At The End,Hank Green,1226,8593,,,,,
41,Naive,The Kooks,"1,5,4,6",Chorus,Naïve,The Kooks,1127437,10145329,"indie, indie rock, british, alternative, rock",,,,
42,My Hero,Foo Fighters,"1,5,4,6",Chorus,My Hero,Foo Fighters,992252,6400654,"rock, alternative rock, alternative, foo fighters, Grunge",My Hero,Foo Fighters,71.0,1997-05-20
43,Roygbiv,Boards of Canada,"1,5,4,6",Chorus,Roygbiv,Boards of Canada,356672,2502365,"electronic, ambient, chillout, idm, electronica",Roygbiv,Boards of Canada,56.0,1998-04-20
44,Hard Out Here,Lily Allen,"1,5,4,6",Pre-Chorus and Chorus,Hard Out Here,Lily Allen,193057,1692114,"pop, sambou no comeback, best of 2013, Lily Allen, 2013",,,,
45,Around My Heart,Sandra,"1,5,4,6",Verse and Pre-Chorus,Around My Heart,Sandra,31823,156362,"pop, 80s, Sandra, dance, german",Around My Heart,Sandra,34.0,1988-01-01
46,Weekend Heroes - Bauer and Lanford Remix,Adrian Lux,"1,5,4,6",Chorus,,,,,,,,,
47,Call On Me,Eric Prydz,"1,5,4,6",Chorus,Call On Me,Eric Prydz,283299,1219429,"dance, House, electronic, club, techno",,,,
48,All Good Things,Nelly Furtado,"1,5,4,6",Chorus,All Good Things,Nelly Furtado,69131,467731,"pop, female vocalists, Nelly Furtado, female vocalist, Canadian",,,,
49,All Good Things,Nelly Furtado,"1,5,4,6",Chorus Lead-Out,All Good Things,Nelly Furtado,69131,467731,"pop, female vocalists, Nelly Furtado, female vocalist, Canadian",,,,
50,All Good Things,Nelly Furtado,"1,5,4,6",Verse,All Good Things,Nelly Furtado,69131,467731,"pop, female vocalists, Nelly Furtado, female vocalist, Canadian",,,,
51,Impossible,Shontelle,"1,5,4,6",Chorus,Impossible,Shontelle,158479,861355,"pop, female vocalists, Shontelle, rnb, r&b",,,,
52,Impossible,Shontelle,"1,5,4,6",Verse,Impossible,Shontelle,158479,861355,"pop, female vocalists, Shontelle, rnb, r&b",,,,
53,Impossible,Shontelle,"1,5,4,6",Pre-Chorus and Chorus,Impossible,Shontelle,158479,861355,"pop, female vocalists, Shontelle, rnb, r&b",,,,
54,Valerie,Steve Winwood,"1,5,4,6",Chorus,Valerie,Steve Winwood,161204,575731,"80s, classic rock, pop, steve winwood, rock",Valerie,Steve Winwood,66.0,1982-08-02
55,Hot Problems,Double Take,"1,5,4,6",Chorus,Hot Problems,Double Take,915,4889,"pop, heavy metal, black metal, metalcore, indie",,,,
56,Pocketful of Sunshine,Natasha Bedingfield,"1,5,4,6",Chorus,Pocketful of Sunshine,Natasha Bedingfield,332961,1819450,"pop, Natasha Bedingfield, female vocalists, upbeat, 2008",Pocketful of Sunshine,Natasha Bedingfield,64.0,2008-01-22
57,Find Yourself,John O'Callaghan ft Sarah Howells,"1,5,4,6",Verse and Pre-Chorus,Find Yourself,John O'Callaghan feat. Sarah Howells,6220,40380,"trance, vocal trance, rock, party, 00s",,,,
58,I See Fire,Ed Sheeran,"1,5,4,6",Verse,I See Fire,Ed Sheeran,438897,4106997,"Soundtrack, folk, Ed Sheeran, indie, male vocalists",I See Fire,Ed Sheeran,66.0,2013-12-10
59,Bros,Panda Bear,"1,5,4,6",Chorus,Bros,Panda Bear,200978,1135248,"experimental, psychedelic, freak folk, indie, folk",Bros,Panda Bear,39.0,2007-03-20
60,New Scene - Lucky Date Remix,Felix Cartal feat Ofelia,"1,5,4,6",Verse and Pre-Chorus,,,,,,,,,
61,The Link,Motooi Sakuraba,"1,5,4,6",Instrumental,,,,,,,,,
62,There's No You,Quinton Barnes,"1,5,4,6",Verse,There's No You,Quinton Barnes,1,1,,,,,
63,The Imperial City,Motoi Sakuraba,"1,5,4,6",Verse,,,,,,,,,
64,Techno Syndrome,Mortal Kombat,"1,5,4,6",Intro,Techno Syndrome,Mortal Kombat,378,1985,"electronic, techno",,,,
65,The Big Day,Headspace,"1,5,4,6",Chorus,The Big Day,Headspace,2218,9967,Progressive metal,,,,
66,Code Monkey,Jonathan Coulton,"1,5,4,6",Verse,Code Monkey,Jonathan Coulton,77095,563606,"geek, comedy, funny, rock, monkey",Code Monkey,Jonathan Coulton,46.0,2006-01-01
67,Sweet Escape,Alesso,"1,5,4,6",Chorus,Sweet Escape,Alesso,30400,129608,"trance, pop, dance, dance pop",Sweet Escape,Alesso,59.0,2015-05-26
68,See You Again,Miley Cyrus,"1,5,4,6",Chorus,See You Again,Miley Cyrus,221691,1453669,"pop, Miley Cyrus, dance, guilty pleasure, catchy",See You Again,Miley Cyrus,58.0,2007-01-01
69,Don't Worry Desmond Dekker,The Mighty Mighty Bosstones,"1,5,4,6",Chorus,Don't Worry Desmond Dekker,The Mighty Mighty Bosstones,6022,31491,"ska, seen live, rock, punk, ska punk",Don't Worry Desmond Dekker,The Mighty Mighty Bosstones,31.0,2007-01-01
70,Traum,CRO,"1,5,4,6",Chorus,Traum,Cro,60540,510531,"german, hip hop, rap, party, wake-up song",Traum,Cro,63.0,2014-06-06
71,Always,Bon Jovi,"1,5,4,6",Chorus,Always,Bon Jovi,443004,2645241,"rock, classic rock, Ballad, love songs, bon jovi",Always,Bon Jovi,78.0,1994-10-18
72,The Good Left Undone,Rise Against,"1,5,4,6",Chorus,The Good Left Undone,Rise Against,321987,2910875,"punk rock, rock, punk, melodic hardcore, hardcore",The Good Left Undone,Rise Against,52.0,2006-01-01
73,The Gummy Bear Song,Gummibar,"1,5,4,6",Chorus,The Gummy Bear Song,Gummy Bear,376,2059,,,,,
74,Quieter Today,Cloud Nothings,"1,5,4,6",Chorus,Quieter Today,Cloud Nothings,56250,295978,"indie rock, indie, rock, groovy, love at first listen",Quieter Today,Cloud Nothings,25.0,2014-04-01
75,Go Down In History,Four Year Strong,"1,5,4,6",Chorus,Go Down In History,Four Year Strong,23209,134928,"punk rock, post-hardcore, melodic hardcore, punk, hardcore",,,,
76,Hello,Adele,"1,5,4,6",Intro and Verse,Hello,Adele,429958,4401236,"soul, pop, 2015, british, female vocalists",Hello,Adele,73.0,2016-06-24
77,Morrowind Theme Song,Jeremy Soule,"1,5,4,6",Intro,Morrowind Theme Song,Jeremy Soule,17,194,,,,,
78,Sweet Lovin,Sigala,"1,5,4,6",Chorus,Sweet Lovin,Sigala,776,6888,,,,,
79,Good Feeling,Flo Rida,"1,5,4,6",Verse,Good Feeling,Flo Rida,407865,2852596,"party, Hip-Hop, electronic, 2011, dance",Good Feeling,Flo Rida,73.0,2012-06-22
80,Irresistible,Fall Out Boy,"1,5,4,6",Chorus,Irresistible,Fall Out Boy,145479,1088803,"rock, alternative, pop rock, pop punk, love at first listen",Irresistible,Fall Out Boy,66.0,2015-01-20
81,Alive - Blinders Remix,Dirty South,"1,5,4,6",Chorus,Alive - Blinders Remix,Dirty South,20,55,,,,,
82,Prophecy,Reez,"1,5,4,6",Bridge,Prophecy,Reez,151,511,,,,,
83,Va Va Voom,Nicki Minaj,"1,5,4,6",Chorus,Va Va Voom,Nicki Minaj,167675,1555549,"pop, dance, why on earth is this just a bonus track, party, FUCKING AWESOME",Va Va Voom,Nicki Minaj,62.0,2012-01-01
84,Va Va Voom,Nicki Minaj,"1,5,4,6",Verse and Pre-Chorus,Va Va Voom,Nicki Minaj,167675,1555549,"pop, dance, why on earth is this just a bonus track, party, FUCKING AWESOME",Va Va Voom,Nicki Minaj,62.0,2012-01-01
85,2 Heads,Coleman Hell,"1,5,4,6",Chorus,2 Heads,Coleman Hell,93059,473807,"one hit wonder, Worst Song Ever, alternative, Canadian, not indie",2 Heads,Coleman Hell,60.0,2015-04-07
86,2 Heads,Coleman Hell,"1,5,4,6",Instrumental,2 Heads,Coleman Hell,93059,473807,"one hit wonder, Worst Song Ever, alternative, Canadian, not indie",2 Heads,Coleman Hell,60.0,2015-04-07
87,The Random And The Purpose,Dax Johnson,"1,5,4,6",Chorus,The Random and the Purpose,Dax Johnson,481,4347,melting away,The Random and the Purpose,Dax Johnson,8.0,2000-01-01
88,'74-'75,The Connells,"1,5,4,6",Chorus,'74-'75,The Connells,118519,771850,"rock, 90s, pop, one hit wonder, classic rock",'74-'75,The Connells,67.0,1993-01-01
89,Wish I Had An Angel,Nightwish,"1,5,4,6",Verse and Pre-Chorus,Wish I Had an Angel,Nightwish,388779,3680188,"symphonic metal, Gothic Metal, metal, Power metal, nightwish",,,,
90,Blue Moon,Beck,"1,5,4,6",Chorus,Blue Moon,Beck,239893,1139688,"indie, singer-songwriter, fip, rock, alternative rock",Blue Moon,Beck,57.0,2014-01-01
91,Dreaming Of You,The Coral,"1,5,4,6",Chorus,Dreaming of You,The Coral,451935,3195807,"indie, indie rock, scrubs, british, rock",Dreaming of You,The Coral,50.0,2003-01-21
92,Nova,Ahrix,"1,5,4,6",Chorus,Nova,Ahrix,20950,138233,"lovedbyme, feweurokay, fewtrem1, lovedbyme1",Nova,Ahrix,63.0,2017-03-16
93,Asagao Academy Theme feat Kori,Saiyapimp,"1,5,4,6",Verse,,,,,,,,,
94,No Future,Blink-182,"1,5,4,6",Verse and Pre-Chorus,No Future,blink-182,56765,332227,"punk rock, pop punk, 2010s",No Future,blink-182,54.0,2016-07-01
95,Beneath Your Beautiful,Labrinth feat Emeli Sande,"1,4,5",Pre-Chorus,Beneath Your Beautiful,Labrinth,175234,996403,"pop, beautiful, Labrinth, female vocalists, male vocalists",Beneath Your Beautiful,Labrinth,60.0,2013-08-27
96,Hallelujah,Leonard Cohen,"1,4,5",Verse,Hallelujah,Leonard Cohen,364764,1702392,"singer-songwriter, leonard cohen, folk, Canadian, spiritual",Hallelujah,Leonard Cohen,66.0,1984-12-11
97,Winter Wrap Up,My Little Pony,"1,4,5",Chorus,Winter Wrap Up,My Little Pony,835,6866,,,,,
98,Turn Me On,Nicki Minaj,"1,4,5",Bridge,Turn Me On,Nicki Minaj,19421,127832,"hip hop, dance, party, trance, Hip-Hop",,,,
99,Wonderwall - Songsmith Techno Mix,Oasis and Microsoft Songsmith,"1,4,5",Verse,,,,,,,,,
100,What Makes You Beautiful,One Direction,"1,4,5",Chorus,What Makes You Beautiful,One Direction,452100,4024179,"pop, one direction, catchy, british, cutieee",,,,
101,What Makes You Beautiful,One Direction,"1,4,5",Verse,What Makes You Beautiful,One Direction,452100,4024179,"pop, one direction, catchy, british, cutieee",What Makes You Beautiful,One Direction,68.0,2012-05-25
102,Fireflies,Owl City,"1,4,5",Chorus,Fireflies,Owl City,805842,7473151,"electronic, pop, Owl City, catchy, 00s",Fireflies,Owl City,80.0,2009-01-01
103,Blowin' In The Wind,Peter Paul and Mary,"1,4,5",Verse,Blowin' In the Wind,"Peter, Paul & Mary",24682,105016,"folk, 60s, cover, folk rock, Bob Dylan",,,,
104,Who Knew,Pink,"1,4,5",Chorus,Who Knew,P!nk,529073,3497240,"pop, pink, rock, female vocalists, pop rock",Who Knew,P!nk,72.0,2006-04-04
105,Nyan Cat - nyanyanya,PRGuitarMan -Yamaha Vocaloid,"1,4,5",Chorus,,,,,,,,,
106,Nyan Cat - nyanyanya,PRGuitarMan -Yamaha Vocaloid,"1,4,5",Verse,,,,,,,,,
107,Unfaithful,Rihanna,"1,4,5",Pre-Chorus,Unfaithful,Rihanna,683882,3266080,"pop, Rihanna, rnb, female vocalists, unfaithful",Unfaithful,Rihanna,73.0,2006-04-10
108,La Bamba,Ritchie Valen,"1,4,5",Chorus,La Bamba,Ritchie Valens,208847,731824,"oldies, 50s, rock n roll, latin, rock",La Bamba,Ritchie Valens,43.0,2015-09-04
109,Commando Highscore - Remember The War,Rob Hubbard,"1,4,5",Verse,,,,,,,,,
110,Here Comes the Sun,The Beatles,"1,4,5",Verse,Here Comes the Sun,The Beatles,875260,6437375,"classic rock, 60s, rock, The Beatles, happy",,,,
111,I'm Looking Through You,The Beatles,"1,4,5",Verse,I'm Looking Through You,The Beatles,360637,1994371,"classic rock, 60s, rock, The Beatles, pop",,,,
112,Twist And Shout,The Beatles,"1,4,5",Chorus,Twist and Shout,The Beatles,495957,3208683,"classic rock, 60s, rock, The Beatles, british",,,,
113,Streams of Whiskey,The Pogues,"1,4,5",Intro and Verse,Streams of Whiskey,The Pogues,76435,317698,"irish, folk, Irish Punk, celtic, punk",Streams of Whiskey,The Pogues,43.0,1984
114,Time Is On My Side,The Rolling Stones,"1,4,5",Chorus,Time Is on My Side,The Rolling Stones,263161,1019715,"classic rock, rock, 60s, the rolling stones, british",,,,
115,The Nanosong,The Sounds of Science,"1,4,5",Verse,,,,,,,,,
116,Into The Great Wide Open,Tom Petty,"1,4,5",Verse,Into The Great Wide Open,Tom Petty,31859,130395,"rock, classic rock, singer-songwriter, 90s, Tom Petty",,,,
117,Save Me San Francisco,Train,"1,4,5",Chorus,Save Me San Francisco,Train,15562,97865,"pop rock, 2011, love at first listen",,,,
118,Friends Forever,Vitamin C,"1,4,5",Chorus,Friends Forever,Vitamin C,1144,7202,"pop, female vocalists",,,,
119,Buddy Holly,Weezer,"1,4,5",Chorus,Buddy Holly,Weezer,1027128,5995464,"rock, alternative, 90s, alternative rock, weezer",Buddy Holly,Weezer,73.0,1994-05-10
120,Because I Got High,Afroman,"1,4,5",Verse,Because I Got High,Afroman,310137,1212253,"rap, Hip-Hop, comedy, because i got high, hip hop",Because I Got High,Afroman,69.0,2001-08-28
121,I Could Be The One,Avicii vs Nicky Romero,"1,4,5",Chorus,I could be the one,Avicii vs. Nicky Romero,20980,169216,"House, trance, electronic, urban, electro house",,,,
122,Sunshine,David Guetta - Avicii,"1,4,5",Pre-Chorus and Chorus,Sunshine,David Guetta,104394,381553,"party, dance, House, club, David Guetta",,,,
123,Hallelujah,Jeff Buckley,"1,4,5",Verse,Hallelujah,Jeff Buckley,915195,6463375,"beautiful, singer-songwriter, acoustic, cover, rock",Hallelujah,Jeff Buckley,74.0,1994
124,Confusion and Frustration in Modern Times,Sum 41,"1,4,5",Intro and Verse,Confusion and Frustration in Modern Times,Sum 41,102935,596995,"punk rock, punk, rock, pop punk, sum 41",,,,
125,Up and Down,Vengaboys,"1,4,5",Intro,Up and Down,Vengaboys,34327,99866,"dance, eurodance, 90s, techno, pop",,,,
126,You're Beautiful,James Blunt,"1,4,5",Chorus,You're Beautiful,James Blunt,864572,5238261,"pop, JAMES BLUNT, Love, singer-songwriter, rock",You're Beautiful,James Blunt,78.0,2005-08-08
127,The Internet Is For Porn,Jeff Marx and Robert Lopez,"1,4,5",Verse and Pre-Chorus,The Internet Is For Porn,Jeff Marx and Robert Lopez,32,271,,,,,
128,Unison,Porter Robinson,"1,4,5",Pre-Chorus,Unison,Porter Robinson,65789,223614,"electro house, electronic, dubstep, electro, epic",Unison,Porter Robinson,42.0,2011
129,All Together Now,The Beatles,"1,4,5",Pre-Chorus,All Together Now,The Beatles,210866,899675,"60s, classic rock, british, pop, rock",All Together Now,The Beatles,47.0,2014-01-01
130,Weep Day,They Might Be Giants,"1,4,5",Verse,Weep Day,They Might Be Giants,4344,17112,"alternative, seen live, Nerd Rock, alt rock, repeatrepeatrepeat",,,,
131,Starry Sky,Capsule,"1,4,5",Solo,Starry sky,Capsule,23166,315261,"electronic, japanese, j-pop, dance, electronica",,,,
132,Something In The Water,Brooke Fraser,"1,4,5",Chorus,Something In The Water,Brooke Fraser,76330,508808,"female vocalists, pop, acoustic, pop rock, Kiwi",Something In The Water,Brooke Fraser,38.0,2010-10-12
133,Time Is Running Out,Muse,"1,4,5",Pre-Chorus and Chorus,Time Is Running Out,Muse,1241558,11236646,"alternative rock, rock, alternative, Muse, indie",Time Is Running Out,Muse,71.0,2004-03-23
134,Alive,Krewella,"1,4,5",Pre-Chorus,Alive,Krewella,143478,1005263,"electronic, House, dubstep, dance, Progressive House",Alive,Krewella,57.0,2012-06-18
135,Unison,Porter Robinson,"1,4,5",Chorus,Unison,Porter Robinson,65789,223614,"electro house, electronic, dubstep, electro, epic",Unison,Porter Robinson,42.0,2011
136,The Dachstein Angels,Wally Badarou,"1,4,5",Verse,The Dachstein Angels,Wally Badarou,420,1743,,,,,
137,Ik Voel Me Zo Verdomd Alleen,Danny de Munk,"1,4,5",Chorus,Ik voel me zo verdomd alleen,Danny de Munk,8209,24987,"Soundtrack, Nederlandstalig, dutch, Nederpop, ciske de rat",,,,
138,Wild Horses,The Rolling Stones,"1,4,5",Verse,Wild Horses,The Rolling Stones,655060,3076386,"classic rock, rock, the rolling stones, 70s, british",Wild Horses,The Rolling Stones,73.0,1971-04-23
139,Bless The Broken Road,Rascal Flatts,"1,4,5",Verse,Bless the Broken Road,Rascal Flatts,194411,876181,"country, rascal flatts, Love, love songs, bless the broken road",Bless the Broken Road,Rascal Flatts,28.0,2011-01-01
140,Opening Theme,Pokemon,"1,4,5",Chorus,Opening Theme,Pokémon,49,267,gameboy,,,,
141,I Know,Hank Green,"1,4,5",Verse,I Know,Hank Green,1914,13124,"love at first listen, dftba, hank green, I Know I Know I Know",,,,
142,I Know,Hank Green,"1,4,5",Chorus,I Know,Hank Green,1914,13124,"love at first listen, dftba, hank green, I Know I Know I Know",,,,
143,Magical Girls,The Aprils,"1,4,5",Verse and Pre-Chorus,Magical Girls,エイプリルズ,3,22,,,,,
144,Badgers,Jonti Picking,"1,4,5",Chorus,Badgers,Jonti Picking,4,14,,,,,
145,Girl On Fire,Alicia Keys,"1,4,5",Verse,Girl on Fire,Alicia Keys,264062,1418511,"pop, soul, rnb, female vocalists, 2012",,,,
146,Lovesong,The Cure,"1,4,5",Chorus,Lovesong,The Cure,832135,6097518,"80s, new wave, alternative, post-punk, rock",Lovesong,The Cure,62.0,1989-05-02
147,Please Stay,Warren Zevon,"1,4,5",Bridge,Please Stay,Warren Zevon,8828,32122,"rock, singer songwriter, stay, downtempo, singer-songwriter",Please Stay,Warren Zevon,22.0,2003-08-26
148,Things To Do In Denver When You're Dead,Warren Zevon,"1,4,5",Verse,Things to Do in Denver When You're Dead,Warren Zevon,8055,39373,"rock, Warren Zevon, sarcastic, classic rock, Progressive rock",,,,
149,Space Junk,Wolfgang Gartner,"1,4,5",Pre-Chorus,Space Junk,Wolfgang Gartner,26313,84667,"electro house, House, electronic, electro, Eargasm",Space Junk,Wolfgang Gartner,29.0,2011
150,Heaven,Dj Sammy,"1,4,5",Intro,Heaven,DJ Sammy,105566,574793,"dance, trance, vocal trance, techno, electronic",,,,
151,Trouble,Pink,"1,4,5",Chorus,Trouble,P!nk,256782,1138968,"pop, pop rock, rock, pink, female vocalists",Trouble,P!nk,60.0,2003-11-10
152,When You Were Young,The Killers,"1,4,5",Intro,When You Were Young,The Killers,1389859,11081269,"rock, indie rock, indie, alternative, alternative rock",When You Were Young,The Killers,77.0,2006-10-02
153,Canon in D Major,Johann Pachelbel,"1,4,5",Intro,Canon in D Major,Johann Pachelbel,165221,552519,"Classical, baroque, instrumental, Pachelbel, classic",Canon in D Major,Johann Pachelbel,37.0,2010-12-28
154,Canon in D Major,Johann Pachelbel,"1,4,5",Pre-Chorus,Canon in D Major,Johann Pachelbel,165221,552519,"Classical, baroque, instrumental, Pachelbel, classic",Canon in D Major,Johann Pachelbel,37.0,2010-12-28
155,Canon in D Major,Johann Pachelbel,"1,4,5",Chorus,Canon in D Major,Johann Pachelbel,165221,552519,"Classical, baroque, instrumental, Pachelbel, classic",Canon in D Major,Johann Pachelbel,37.0,2010-12-28
156,One Minute,Krewella,"1,4,5",Verse and Pre-Chorus,One Minute,Krewella,42283,244002,"dubstep, electronic, electropop, under 2000 listeners, indie",One Minute,Krewella,44.0,2012-06-18
157,Flaming Moe's,Jeff Martin,"1,4,5",Verse,Flaming Moe's,Jeff Martin,8,14,,,,,
158,How To Save A Life,The Fray,"1,4,5",Chorus,How to Save a Life,The Fray,1163381,9546468,"alternative, rock, piano rock, indie, alternative rock",How to Save a Life,The Fray,82.0,2005-09-13
