,artist,cp,section,song,type
32,Lady Gaga,"1,5,6",Chorus,The Edge Of Glory,3 chord
33,Maroon 5,"1,5,6",Chorus,She Will Be Loved,3 chord
34,Matchbox 20,"1,5,6",Verse,Real World,3 chord
35,Mitch Benn And The Distractions,"1,5,6",Verse,Everything Sounds Like Coldplay Now,3 chord
36,Mumford and Sons,"1,5,6",Chorus,The Cave,3 chord
37,NOFX,"1,5,6",Chorus,Please Play This Song On The Radio,3 chord
38,Oasis,"1,5,6",Pre-Chorus and Chorus,Don't Go Away,3 chord
39,Oasis,"1,5,6",Chorus,Don't Look Back in Anger,3 chord
40,Oasis,"1,5,6",Verse,Don't Look Back In Anger,3 chord
41,Of Monsters And Men,"1,5,6",Chorus,Little Talks,3 chord
42,Of Monsters And Men,"1,5,6",Intro,Little Talks,3 chord
43,Old Crow Medicine Show,"1,5,6",Verse,Wagon Wheel,3 chord
44,One Direction,"1,5,6",Pre-Chorus,Live While We're Young,3 chord
45,One Republic,"1,5,6",Chorus,Say,3 chord
46,One Republic,"1,5,6",Verse and Pre-Chorus,Say,3 chord
47,Pink,"1,5,6",Chorus,U and Ur Hand,3 chord
48,Pink Floyd,"1,5,6",Verse,Time,3 chord
49,Rhapsody of Fire,"1,5,6",Chorus,Emerald Sword,3 chord
50,Rihanna,"1,5,6",Pre-Chorus,Love The Way You Lie Part 2,3 chord
51,Rihanna,"1,5,6",Verse,Love The Way You Lie Part 2,3 chord
52,Shakira,"1,5,6",Pre-Chorus and Chorus,Waka Waka,3 chord
53,Skid Row,"1,5,6",Pre-Chorus and Chorus,Wasted Time,3 chord
54,Snow Patrol,"1,5,6",Chorus,Run,3 chord
55,Taylor Swift,"1,5,6",Verse,Eyes Open,3 chord
56,Taylor Swift,"1,5,6",Chorus,I Knew You Were Trouble,3 chord
57,Taylor Swift,"1,5,6",Verse,I Knew You Were Trouble,3 chord
58,Taylor Swift,"1,5,6",Chorus,Mine,3 chord
59,Taylor Swift,"1,5,6",Chorus,We Are Never Ever Getting Back Together,3 chord
60,The Beatles,"1,5,6",Verse,I Want to Hold Your Hand,3 chord
61,The Beatles,"1,5,6",Intro and Verse,In My Life,3 chord
62,The Beatles,"1,5,6",Verse,Let It Be,3 chord
63,The Beatles,"1,5,6",Verse,Lovely Rita,3 chord
64,The Lonely Island,"1,5,6",Bridge,Jack Sparrow,3 chord
65,The Lonely Island,"1,5,6",Chorus,Jack Sparrow,3 chord
66,Tim McGraw,"1,5,6",Verse,It's Your Love,3 chord
67,Tim McGraw,"1,5,6",Verse,Where The Green Grass Grows,3 chord
68,Train,"1,5,6",Chorus,Drive By,3 chord
69,Train,"1,5,6",Verse,Hey Soul Sister,3 chord
70,Vitamin C,"1,5,6",Chorus,Friends Forever,3 chord
71,Avicii - Ezon remix ,"1,5,6",Chorus,All You Need Is Love,3 chord
72,Avril Lavigne,"1,5,6",Chorus,Complicated,3 chord
73,Green Day,"1,5,6",Intro,21 Guns,3 chord
74,Green Day,"1,5,6",Verse,21 Guns,3 chord
75,Green Day,"1,5,6",Chorus,Boulevard of Broken Dreams,3 chord
76,Green Day,"1,5,6",Chorus,Holiday,3 chord
77,Green Day,"1,5,6",Verse,Holiday,3 chord
78,Green Day,"1,5,6",Chorus,When I Come Around,3 chord
79,Linkin Park,"1,5,6",Chorus,Numb,3 chord
80,Michel Telo,"1,5,6",Chorus,Ai Se Eu Te Pego,3 chord
81,Mike Candys,"1,5,6",Intro,2012 'If The World Would End',3 chord
82,Mike Candys,"1,5,6",Pre-Chorus and Chorus,2012 'If The World Would End',3 chord
83,Red Hot Chili Peppers,"1,5,6",Chorus,Snow -Hey Oh-,3 chord
84,Skyrim OST,"1,5,6",Intro,The Bannered Mare,3 chord
85,Sum 41,"1,5,6",Chorus,Confusion and Frustration in Modern Times,3 chord
86,Sum 41,"1,5,6",Intro,Confusion and Frustration in Modern Times,3 chord
87,Sum 41,"1,5,6",Intro and Verse,Confusion and Frustration in Modern Times,3 chord
88,Sum 41,"1,5,6",Verse and Pre-Chorus,Confusion and Frustration in Modern Times,3 chord
89,Sum 41,"1,5,6",Chorus,Walking Disaster,3 chord
90,Tiesto and Allure,"1,5,6",Chorus,Pair of Dice,3 chord
91,RIO feat Nicco,"1,5,6",Intro,Party Shaker,3 chord
92,Jeff Marx and Robert Lopez,"1,5,6",Verse and Pre-Chorus,The Internet Is For Porn,3 chord
93,Lady Gaga,"1,5,6",Chorus,Paparazzi,3 chord
94,Linkin Park,"1,5,6",Chorus,Castle Of Glass,3 chord
95,Yiruma,"1,5,6",Intro and Verse,River flows in you,3 chord
96,Roxette,"1,5,6",Chorus,Listen To Your Heart,3 chord
97,Lady Gaga,"1,5,6",Chorus,Alejandro,3 chord
98,The National,"1,5,6",Verse,Exile Vilify,3 chord
99,Toto,"1,5,6",Chorus,Africa,3 chord
100,The Avett Brothers,"1,5,6",Verse,Life,3 chord
101,Tidal Wave,"1,5,6",Instrumental,Sub Focus,3 chord
102,Takahashi Yu,"1,5,6",Verse and Pre-Chorus,Genjitsu to Iu Na no Kaibutsu to Tatakau MonoTachi,3 chord
103,Taylor Swift,"1,5,6",Bridge,Stay Stay Stay,3 chord
104,Frank Ocean,"1,5,6",Chorus,Thinkin Bout You,3 chord
105,Edward Maya,"1,5,6",Instrumental,Stereo Love,3 chord
106,Deep Blue Something,"1,5,6",Chorus,Breakfast At Tiffany's,3 chord
107,Rihanna,"1,5,6",Pre-Chorus,Who's that chick,3 chord
108,Rome,"1,5,6",Chorus,Seasons,3 chord
109,RIO,"1,5,6",Chorus,Living in Stereo,3 chord
110,RIO,"1,5,6",Pre-Chorus,Living in Stereo,3 chord
111,Mike Candys,"1,5,6",Intro,Brand New Day,3 chord
112,Mike Candys,"1,5,6",Chorus,Brand New Day,3 chord
113,ItaloBrothers,"1,5,6",Chorus,This is Nightlife,3 chord
114,Britney Spears,"1,5,6",Intro,Born to make you happy,3 chord
115,Britney Spears,"1,5,6",Chorus,Born to make you happy,3 chord
116,Axis of Awesome,"1,5,6",Chorus,Four Chord Songs,3 chord
117,Passion Pit,"1,5,6",Chorus,Take A Walk,3 chord
118,Passenger,"1,5,6",Chorus,Let Her Go,3 chord
119,Charles Jenkins,"1,5,6",Verse,Awesome,3 chord
120,Plastic Tree,"1,5,6",Verse and Pre-Chorus,Mizuiro Girlfriend,3 chord
121,Deitrick Haddon,"1,5,6",Chorus,He's Able,3 chord
122,Charles Jenkins,"1,5,6",Intro,Awesome,3 chord
123,Warren Zevon,"1,5,6",Verse,Please Stay,3 chord
124,Florida Georgia Line,"1,5,6",Chorus,Get Your Shine On,3 chord
125,O Zone,"1,5,6",Intro,Dragostea Din Tei,3 chord
126,O Zone,"1,5,6",Verse and Pre-Chorus,Dragostea Din Tei,3 chord
127,O Zone,"1,5,6",Chorus Lead-Out,Dragostea Din Tei,3 chord
128,Basshunter,"1,5,6",Verse,All I Ever Wanted,3 chord
129,ItaloBrothers,"1,5,6",Pre-Chorus,Stamp on the Ground,3 chord
130,ItaloBrothers,"1,5,6",Instrumental,Stamp on the Ground,3 chord
131,Johann Pachelbel,"1,5,6",Intro,Canon in D Major,3 chord
132,Johann Pachelbel,"1,5,6",Pre-Chorus,Canon in D Major,3 chord
133,Johann Pachelbel,"1,5,6",Chorus,Canon in D Major,3 chord
134,Arias,"1,5,6",Chorus,Pegasus,3 chord
135,Klaus Badelt,"1,5,6",Verse,He's a Pirate,3 chord
136,Britney Spears,"1,5,6",Pre-Chorus and Chorus,You Drive Me Crazy,3 chord
137,Basto,"1,5,6",Chorus,Again and Again,3 chord
138,Imogen Heap,"1,5,6",Verse,Hide And Seek,3 chord
139,Imogen Heap,"1,5,6",Pre-Chorus,Hide And Seek,3 chord
140,Hurricane 1,"1,5,6",Chorus,Only The Strongest Will Survive,3 chord
141,Imogen Heap,"1,5,6",Chorus,Hide And Seek,3 chord
142,Iyaz,"1,5,6",Chorus,Replay,3 chord
143,Kelly Clarkson,"1,5,6",Verse and Pre-Chorus,Behind These Hazel Eyes,3 chord
144,Kelly Clarkson,"1,5,6",Chorus,Behind These Hazel Eyes,3 chord
145,Kelly Clarkson,"1,5,6",Bridge,Behind These Hazel Eyes,3 chord
146,JayKay - Lil Wayne - Rick Ross - Mack 10 ,"1,5,6",Pre-Chorus and Chorus,Party Encore,3 chord
147,Mike Candys,"1,5,6",Intro and Verse,Everybody,3 chord
148,Mike Candys,"1,5,6",Pre-Chorus and Chorus,Everybody,3 chord
149,Michel Mind Project,"1,5,6",Chorus,One More Round,3 chord
150,Cady Groves,"1,5,6",Chorus,Love Actually,3 chord
151,Nelly,"1,5,6",Instrumental,Just A Dream,3 chord
152,Of Monsters and Men,"1,5,6",Chorus,King and Lionheart,3 chord
153,Taylor Swift,"1,5,6",Chorus,Love Story,3 chord
154,The Begging Sea,"1,5,6",Verse,All We've Got,3 chord
155,The Veronicas,"1,5,6",Chorus,Everything I'm Not,3 chord
156,The Veronicas,"1,5,6",Chorus,4ever,3 chord
157,Backstreet Boys,"1,5,6",Chorus,Get Another Boyfriend,3 chord
158,Backstreet Boys,"1,5,6",Chorus,The One,3 chord
159,Asher Roth,"1,5,6",Chorus,I Love College,3 chord
160,John Mayer,"1,5,6",Chorus,Waiting on the World to Change,3 chord
161,Shania Twain,"1,5,6",Verse and Pre-Chorus,That Don't Impress Me Much,3 chord
162,Shania Twain,"1,5,6",Chorus,That Don't Impress Me Much,3 chord
163,Lou Reed,"1,5,6",Verse and Pre-Chorus,Perfect Day,3 chord
164,Noam Kaniel,"1,5,6",Intro,A World Without Danger,3 chord
165,Renard,"1,5,6",Bridge,Intensive Care Unit,3 chord
166,Renard,"1,5,6",Chorus,Intensive Care Unit,3 chord
167,INXS,"1,5,6",Chorus,Beautiful Girl,3 chord
168,Miley Cyrus,"1,5,6",Chorus,Wrecking Ball,3 chord
169,Bush,"1,5,6",Intro and Verse,Glycerine,3 chord
170,Taeyang,"1,5,6",Intro,Wedding Dress,3 chord
171,Patent Pending,"1,5,6",Chorus,Hey Mario,3 chord
172,Chris Tomlin,"1,5,6",Chorus,Our God,3 chord
173,Bob Dylan,"1,5,6",Intro and Verse,Don't Think Twice It's Alright,3 chord
174,Bonnie Tyler,"1,5,6",Chorus,Total Eclipse of the Heart,3 chord
175,Joan Osborne,"1,5,6",Intro,One of Us,3 chord
176,Paul McCartney,"1,5,6",Verse,New,3 chord
177,Globus,"1,5,6",Intro,Europa,3 chord
178,Globus,"1,5,6",Verse,Europa,3 chord
179,Globus,"1,5,6",Chorus,Europa,3 chord
180,Globus,"1,5,6",Chorus Lead-Out,Europa,3 chord
181,Globus,"1,5,6",Pre-Chorus,Europa,3 chord
182,Bruce Rowland,"1,5,6",Intro and Verse,Jessica's Theme,3 chord
183,Steve Winwood,"1,5,6",Chorus,Higher Love,3 chord
184,Danny McCarthy,"1,5,6",Intro,Silver Scrapes,3 chord
185,Danny McCarthy,"1,5,6",Verse,Silver Scrapes,3 chord
186,Knife Party,"1,5,6",Solo,Fire Hive,3 chord
187,Sportfreunde Stiller,"1,5,6",Intro and Verse,Applaus Applaus,3 chord
188,High School Musical,"1,5,6",Chorus,Stick to the Status Quo,3 chord
189,GG feat Gary Wright and Baby Brown ,"1,5,6",Chorus,My My My,3 chord
190,The Paper Kites,"1,5,6",Intro,Bloom,3 chord
191,Klaas,"1,5,6",Intro and Verse,Heartbeat,3 chord
192,Lenka,"1,5,6",Chorus,Trouble is a Friend,3 chord
193,nigahiga,"1,5,6",Chorus,Nice Guys,3 chord
194,C2C,"1,5,6",Chorus,The Beat,3 chord
195,Mayhem,"1,5,6",Intro,Eggs -Furries In A Blender RMX-,3 chord
196,Mayhem,"1,5,6",Pre-Chorus,Eggs -Furries In A Blender RMX-,3 chord
197,Katy Perry,"1,5,6",Verse,Unconditionally,3 chord
198,Neighborhood Annoyance ,"1,5,6",Solo,ICE CREAM TRUCK,3 chord
199,Josh Groban,"1,5,6",Chorus,You Raise Me Up,3 chord
200,The Offspring,"1,5,6",Verse,You're Gonna Go Far Kid,3 chord
201,The Offspring,"1,5,6",Pre-Chorus and Chorus,You're Gonna Go Far Kid,3 chord
202,Bruce Dickinson,"1,5,6",Chorus,Tears of The Dragon,3 chord
203,Manowar,"1,5,6",Chorus,Master of the wind,3 chord
204,Helloween,"1,5,6",Chorus,A tale that wasn't right,3 chord
205,Iron Maiden,"1,5,6",Chorus,Blood Brothers,3 chord
206,Iron Maiden,"1,5,6",Verse and Pre-Chorus,No more lies,3 chord
207,Red Hot Chili Peppers,"1,5,6",Pre-Chorus,Breaking the Girl,3 chord
208,Braken,"1,5,6",Intro and Verse,To The Stars,3 chord
209,Orchestral Manoeuvres in the Dark,"1,5,6",Intro,Electricity,3 chord
210,Bob Dylan,"1,5,6",Chorus,Don't Think Twice It's Alright,3 chord
211,Luke Bryan,"1,5,6",Verse,Crash My Party,3 chord
212,Pegboard Nerds,"1,5,6",Chorus,Self Destruct,3 chord
213,The Wanted,"1,5,6",Chorus,We Own The Night,3 chord
214,Avicii,"1,5,6",Intro and Verse,Hey Brother,3 chord
215,Takahashi Yu,"1,5,6",Chorus,Genjitsu to Iu Na no Kaibutsu to Tatakau MonoTachi,3 chord
216,Pegboard Nerds and Tristam,"1,5,6",Verse,Razor Sharp,3 chord
217,the Sing Team,"1,5,6",Chorus,Satisfied in You,3 chord
218,Eagle Eye Cherry,"1,5,6",Intro,Save Tonight,3 chord
219,Alex Lloyd,"1,5,6",Chorus,Amazing,3 chord
220,Natalie Imbruglia,"1,5,6",Chorus,Torn,3 chord
221,Natalie Imbruglia,"1,5,6",Outro,Torn,3 chord
222,Blind Guardian,"1,5,6",Verse,A Past And Future Secret,3 chord
223,Switchfoot,"1,5,6",Intro,Your Love is a Song,3 chord
224,Jimi Hendrix,"1,5,6",Intro and Verse,Bold as love,3 chord
225,Jimi Hendrix,"1,5,6",Chorus,Bold as love,3 chord
226,Tan Bionica,"1,5,6",Pre-Chorus and Chorus,Ciudad Magica,3 chord
227,Casting Crowns,"1,5,6",Verse,O Come All Ye Faithful - Christmas,3 chord
228,Casting Crowns,"1,5,6",Verse,Joy to the World - Christmas,3 chord
229,A Great Big World,"1,5,6",Intro,Say Something,3 chord
230,Israel Kamakawiwoole,"1,5,6",Intro,Somewhere Over the Rainbow,3 chord
231,Israel Kamakawiwoole,"1,5,6",Verse,Somewhere Over the Rainbow,3 chord
232,Israel Kamakawiwoole,"1,5,6",Bridge,Somewhere Over the Rainbow,3 chord
233,MistFolk,"1,5,6",Pre-Chorus and Chorus,Storm Spirits,3 chord
234,Enya,"1,5,6",Verse,May It Be,3 chord
235,Imagine Dragons,"1,5,6",Intro and Verse,Demons,3 chord
236,Imagine Dragons,"1,5,6",Pre-Chorus and Chorus,Demons,3 chord
237,Tamas Wells,"1,5,6",Verse and Pre-Chorus,From Prying Plans into the Fire,3 chord
238,Alligatoah,"1,5,6",Chorus Lead-Out,Trauerfeier Lied,3 chord
239,Klingande,"1,5,6",Verse,Punga,3 chord
240,Nintendo,"1,5,6",Bridge,Super Smash Bros Melee - Onett,3 chord
241,Iron Maiden,"1,5,6",Verse and Pre-Chorus,The Wicker Man,3 chord
242,Iron And Wine,"1,5,6",Verse,Upward Over The Mountain,3 chord
243,Enya,"1,5,6",Bridge,Orinico Flow,3 chord
244,Scorpions,"1,5,6",Chorus,Still loving you,3 chord
245,Idina Menzel,"1,5,6",Chorus,Let It Go,3 chord
246,Sick Individuals - Axwell,"1,5,6",Intro and Verse,I am,3 chord
247,UNiTE,"1,5,6",Chorus,Ai -'ation-,3 chord
248,Adel Tawil,"1,5,6",Verse,Lieder,3 chord
249,Hollywood Undead,"1,5,6",Chorus,Bullet,3 chord
250,Paris Hilton,"1,5,6",Chorus,Nothing In This World,3 chord
251,Lindsey Stirling,"1,5,6",Pre-Chorus and Chorus,Shadows,3 chord
252,Madonna,"1,5,6",Verse,La Isla Bonita,3 chord
253,Miriam Bryant,"1,5,6",Chorus,Push Play,3 chord
254,Hampton the Hampster,"1,5,6",Chorus,Hampster Dance,3 chord
255,John Denver,"1,5,6",Chorus,Take Me Home - Country Roads,3 chord
256,Nightwish,"1,5,6",Intro and Verse,Last Of the Wilds,3 chord
257,Instrumental Core,"1,5,6",Chorus,The Angels Among Demons,3 chord
258,Brad Paisley and Alison Krauss,"1,5,6",Chorus,Whiskey Lullaby,3 chord
259,Dj Fortify,"1,5,6",Solo 1,PEWDIEPIE Song,3 chord
260,YB,"1,5,6",Chorus,Flying Butterfly,3 chord
261,The Offspring,"1,5,6",Verse,Self Esteem,3 chord
262,Sanna Nielsen,"1,5,6",Chorus,Undo,3 chord
263,Rebecca and Fiona,"1,5,6",Chorus,Bullets - Nause and Adrian Lux Remix,3 chord
264,Alligatoah,"1,5,6",Pre-Chorus and Chorus,Narben,3 chord
265,Daddy Yankee,"1,5,6",Chorus,Limbo,3 chord
266,The Beatles,"1,5,6",Verse,Oh Darling,3 chord
267,Tiesto,"1,5,6",Chorus,Red Lights,3 chord
268,The Stone Roses,"1,5,6",Chorus,I Wanna Be Adored,3 chord
269,Smile-dk,"1,5,6",Chorus,Butterfly,3 chord
270,Smile-dk,"1,5,6",Verse,Butterfly,3 chord
271,The Script,"1,5,6",Intro,Hall of Fame,3 chord
272,The Script,"1,5,6",Chorus,Hall of Fame,3 chord
273,Judas Priest,"1,5,6",Verse and Pre-Chorus,Breaking The Law,3 chord
274,Betty Who,"1,5,6",Chorus,Somebody Loves You,3 chord
275,John Legend,"1,5,6",Intro and Verse,All of Me,3 chord
276,John Legend,"1,5,6",Pre-Chorus and Chorus,All of Me,3 chord
277,Murray Gold,"1,5,6",Verse,The Doctor's Theme Series 4,3 chord
278,The All-American Rejects,"1,5,6",Verse,Dirty Little Secret,3 chord
279,Pyotr Ilyich Tchaikovsky,"1,5,6",Verse,Russian Dance 'Trepak',3 chord
280,Vienna Teng,"1,5,6",Intro and Verse,Goodnight New York,3 chord
281,Florida Georgia Line,"1,5,6",Chorus,Cruise,3 chord
282,Red Hot Chili Peppers,"1,5,6",Verse,Under The Bridge,3 chord
283,Red Hot Chili Peppers,"1,5,6",Chorus,Under The Bridge,3 chord
284,Katy Perry,"1,5,6",Pre-Chorus,Firework,3 chord
285,Natasha Bedingfield,"1,5,6",Chorus,These Words,3 chord
286,All Levels at Once,"1,5,6",Chorus,Phoenix,3 chord
287,Fergie,"1,5,6",Chorus,Big Girls Don't Cry,3 chord
288,Kelly Clarkson,"1,5,6",Pre-Chorus and Chorus,Breakaway,3 chord
289,Austra,"1,5,6",Chorus,Painful Like,3 chord
290,HertzDevil,"1,5,6",Intro,Blueshift Galaxy,3 chord
291,Scott McKenzie,"1,5,6",Chorus,San Francisco,3 chord
292,Alexandra Stan,"1,5,6",Chorus,Get Back ASAP,3 chord
293,Black Eyed Peas,"1,5,6",Chorus,Where Is The Love,3 chord
294,Cold Chisel,"1,5,6",Verse,Khe Sanh,3 chord
295,Howard Shore,"1,5,6",Outro,Bridge of Khazad-dum,3 chord
296,Harry Gregson-Williams,"1,5,6",Outro,Metal Gear,3 chord
297,Justice Crew,"1,5,6",Instrumental,Que Sera,3 chord
298,Shakira,"1,5,6",Verse,Whenever Wherever,3 chord
299,Shakira,"1,5,6",Chorus,Whenever Wherever,3 chord
300,Sega,"1,5,6",Intro,Seaside Hill Zone,3 chord
301,Shakira,"1,5,6",Instrumental,Whenever Wherever,3 chord
302,Yasunori Mitsuda,"1,5,6",Outro,Radical Dreamers,3 chord
303,Michael Walthius,"1,5,6",Chorus,Dreaming in Stereo - Under The Moon,3 chord
304,Michael Walthius,"1,5,6",Instrumental,Dreaming in Stereo - Under The Moon,3 chord
305,Gym Class Heroes And Ryan Tedder,"1,5,6",Intro and Verse,The Fighter,3 chord
306,Gustav Holst,"1,5,6",Bridge,Jupiter from The Planets,3 chord
307,Les Friction,"1,5,6",Chorus,What You Need,3 chord
308,Chicane and Ferry Corsten,"1,5,6",Chorus,One Thousand Suns - Soundprank Remix,3 chord
309,NiR-Gerda,"1,5,6",Chorus,Rasen'nawatashi--My Spiral ,3 chord
310,Rasen'nawatashi--My Spiral,"1,5,6",Chorus,NiR-Gerda,3 chord
311,John O'Callaghan ft Sarah Howells,"1,5,6",Verse and Pre-Chorus,Find Yourself,3 chord
312,Nightwish,"1,5,6",Bridge,The Poet and the Pendulum,3 chord
313,Olly Murs ,"1,5,6",Chorus,Dear Darlin,3 chord
314,Hans Zimmer,"1,5,6",Instrumental,Now We Are Free,3 chord
315,Sylvie Vartan,"1,5,6",Chorus,Irresistiblement,3 chord
316,Fall Out Boy,"1,5,6",Verse,Young Volcanoes,3 chord
317,Fall Out Boy,"1,5,6",Pre-Chorus,Young Volcanoes,3 chord
318,Enrique ft Descemer Bueno Gente De Zona,"1,5,6",Verse and Pre-Chorus,Bailando Espanol,3 chord
319,Enrique ft Descemer Bueno Gente De Zona,"1,5,6",Chorus,Bailando Espanol,3 chord
320,Kors-K--DJ-Command,"1,5,6",Chorus,Smooooch---Akiba-Kobo-Remix-,3 chord
321,Neo Cortex,"1,5,6",Chorus,Elements 2004,3 chord
322,Neo Cortex,"1,5,6",Chorus,Elements,3 chord
323,Neo Cortex,"1,5,6",Verse,Elements,3 chord
324,Technikal and Nathalie ,"1,5,6",Chorus,Big Sky,3 chord
325,Neo Cortex,"1,5,6",Instrumental,Elements,3 chord
326,Anamanaguchi,"1,5,6",Verse,Akira,3 chord
327,Florence and the Machine,"1,5,6",Chorus,Spectrum,3 chord
328,Jet,"1,5,6",Verse,Look What You've Done,3 chord
329,Tom Petty And The Heartbreakers,"1,5,6",Pre-Chorus and Chorus,I Won't Back Down,3 chord
330,Lana Del Rey,"1,5,6",Verse,Old Money,3 chord
331,Alicia Keys,"1,5,6",Intro,No One,3 chord
332,Sarah McLachlan,"1,5,6",Bridge,Adia,3 chord
333,Regina Spektor,"1,5,6",Chorus,Samson,3 chord
334,Dolly Parton,"1,5,6",Chorus,Jolene,3 chord
335,Green Day,"1,5,6",Instrumental,Boulevard of Broken Dreams,3 chord
336,Mike Oldfield,"1,5,6",Verse and Pre-Chorus,Moonlight Shadow feat Maggie Reilly,3 chord
337,Naruto,"1,5,6",Instrumental,Sadness and Sorrow,3 chord
338,Jacksfilms,"1,5,6",Chorus,Give This Song A Title,3 chord
339,Nightwish,"1,5,6",Intro,Ghost River,3 chord
340,Luke Bryan,"1,5,6",Chorus,Play It Again,3 chord
341,Queen,"1,5,6",Verse,You're My Best Friend,3 chord
342,Piao Shu,"1,5,6",Intro,Pingfan zhi lu,3 chord
343,John Mayer,"1,5,6",Chorus,Half of My Heart,3 chord
344,Chase Holfelder,"1,5,6",Pre-Chorus,I Want You to Want Me in Minor Key,3 chord
345,Lorde,"1,5,6",Chorus,Tennis Court,3 chord
346,Avril Lavigne,"1,5,6",Intro,Sk8er Boi,3 chord
347,Avril Lavigne,"1,5,6",Verse,Sk8er Boi,3 chord
348,Eric Whitacre,"1,5,6",Chorus,A Boy and a Girl,3 chord
349,AFI,"1,5,6",Chorus,Girl's Not Grey,3 chord
350,Mat Kearney,"1,5,6",Pre-Chorus,Sooner Or Later,3 chord
351,One Republic,"1,5,6",Chorus,Stop And Stare,3 chord
352,Cartoons,"1,5,6",Chorus,Witch Doctor,3 chord
353,Alphaville,"1,5,6",Verse,Forever Young,3 chord
354,Motoi Sakuraba,"1,5,6",Verse,Longing - Dark Souls II Soundtrack,3 chord
355,Green Day,"1,5,6",Chorus,X-Kid,3 chord
356,Alphaville,"1,5,6",Chorus,Forever Young,3 chord
357,Smokey Mountain,"1,5,6",Chorus,Da Coconut Nut,3 chord
358,Heart,"1,5,6",Verse and Pre-Chorus,What About Love,3 chord
359,Kyle Justin,"1,5,6",Chorus,The Angry Video Game Nerd Theme Song,3 chord
360,Jonathan Larson,"1,5,6",Verse,Seasons of Love,3 chord
361,Chelsea Ward,"1,5,6",Verse,That's Falling in Love,3 chord
362,Paul McCartney,"1,5,6",Verse,Meat Free Monday,3 chord
363,A Great Big World,"1,5,6",Intro and Verse,Say Something,3 chord
364,A Great Big World,"1,5,6",Chorus,Say Something,3 chord
365,Avicii,"1,5,6",Pre-Chorus and Chorus,Father Told Me,3 chord
366,Roomie,"1,5,6",Chorus,How To Make A Number One Song Without Talent,3 chord
367,Nine Inch Nails,"1,5,6",Chorus,The Perfect Drug,3 chord
368,One Republic,"1,5,6",Chorus,I Lived - Arty Remix,3 chord
369,AFI,"1,5,6",Chorus,Miss Murder,3 chord
370,Avicii,"1,5,6",Chorus,The Days,3 chord
371,Sonia Leigh,"1,5,6",Chorus,Put It In Your Pocket,3 chord
372,Takeo Watanabe,"1,5,6",Chorus,Mobile Suit Gundam - Tobe Gundam,3 chord
373,Avicii,"1,5,6",Chorus,The Nights FIFA 15 Soundtrack,3 chord
374,Avicii,"1,5,6",Instrumental,The Nights FIFA 15 Soundtrack,3 chord
375,3OH3,"1,5,6",Chorus,Don't Trust Me,3 chord
376,Fountains Of Wayne,"1,5,6",Chorus,Stacy's Mum,3 chord
377,The Calling,"1,5,6",Chorus,Wherever You Will Go,3 chord
378,Calvin Harris,"1,5,6",Chorus,I Need Your Love,3 chord
379,Calvin Harris,"1,5,6",Intro,I Need Your Love,3 chord
380,Justice Crew,"1,5,6",Chorus,Que Sera,3 chord
381,Bastille,"1,5,6",Verse,What Would You Do,3 chord
382,Bastille,"1,5,6",Chorus,What Would You Do,3 chord
383,Taylor Swift,"1,5,6",Chorus,Bad Blood,3 chord
384,The Divine Comedy,"1,5,6",Bridge,At The Indie Disco,3 chord
