Artist,Chord Progression,Genre,Popularity,Song
Taylor Swift,"1,5,4,6",pop,62.0,22
Taylor Swift,"1,5,4,6",taylor swift,62.0,22
Taylor Swift,"1,5,4,6",country,62.0,22
Taylor Swift,"1,5,4,6",love at first listen,62.0,22
Taylor Swift,"1,5,4,6",female vocalists,62.0,22
Jonas Brothers,"1,5,4,6",jonas brothers,74.0,Burnin up
Jonas Brothers,"1,5,4,6",pop,74.0,Burnin up
Jonas Brothers,"1,5,4,6",pop rock,74.0,Burnin up
Jonas Brothers,"1,5,4,6",rock,74.0,Burnin up
Jonas Brothers,"1,5,4,6",dance,74.0,Burnin up
James Morrison ft Nelly Furtado,"1,5,4,6",pop,55.0,Broken Strings
James Morrison ft Nelly Furtado,"1,5,4,6",James Morrison,55.0,Broken Strings
James Morrison ft Nelly Furtado,"1,5,4,6",singer-songwriter,55.0,Broken Strings
James Morrison ft Nelly Furtado,"1,5,4,6",rock,55.0,Broken Strings
James Morrison ft Nelly Furtado,"1,5,4,6",Love,55.0,Broken Strings
The Cars,"1,5,4,6",new wave,73.0,Just What I Needed
The Cars,"1,5,4,6",80s,73.0,Just What I Needed
The Cars,"1,5,4,6",rock,73.0,Just What I Needed
The Cars,"1,5,4,6",classic rock,73.0,Just What I Needed
The Cars,"1,5,4,6",pop,73.0,Just What I Needed
Kelly Clarkson,"1,5,4,6",pop,62.0,Behind These Hazel Eyes
Kelly Clarkson,"1,5,4,6",Kelly Clarkson,62.0,Behind These Hazel Eyes
Kelly Clarkson,"1,5,4,6",rock,62.0,Behind These Hazel Eyes
Kelly Clarkson,"1,5,4,6",pop rock,62.0,Behind These Hazel Eyes
Kelly Clarkson,"1,5,4,6",female vocalists,62.0,Behind These Hazel Eyes
Kurt Vile,"1,5,4,6",folk rock,42.0,KV Crimes
Kurt Vile,"1,5,4,6",10s,42.0,KV Crimes
Kurt Vile,"1,5,4,6",indie,42.0,KV Crimes
Kurt Vile,"1,5,4,6",rock,42.0,KV Crimes
Kurt Vile,"1,5,4,6",alternative,42.0,KV Crimes
Citizens,"1,5,4,6",christian alternative,48.0,In Tenderness
Citizens,"1,5,4,6",mars hill,48.0,In Tenderness
Citizens,"1,5,4,6",worship and devotion,48.0,In Tenderness
OneRepublic,"1,5,4,6",pop rock,75.0,Counting Stars
OneRepublic,"1,5,4,6",rock,75.0,Counting Stars
OneRepublic,"1,5,4,6",pop,75.0,Counting Stars
OneRepublic,"1,5,4,6",love at first listen,75.0,Counting Stars
OneRepublic,"1,5,4,6",melancholic,75.0,Counting Stars
Dragonforce,"1,5,4,6",Power metal,4.0,Through the Fire and Flames
Dragonforce,"1,5,4,6",speed metal,4.0,Through the Fire and Flames
Dragonforce,"1,5,4,6",metal,4.0,Through the Fire and Flames
Dragonforce,"1,5,4,6",Extreme Power Metal,4.0,Through the Fire and Flames
Dragonforce,"1,5,4,6",DragonForce,4.0,Through the Fire and Flames
Lana Del Rey,"1,5,4,6",indie pop,61.0,National Anthem
Lana Del Rey,"1,5,4,6",indie,61.0,National Anthem
Lana Del Rey,"1,5,4,6",pop,61.0,National Anthem
Lana Del Rey,"1,5,4,6",female vocalists,61.0,National Anthem
Lana Del Rey,"1,5,4,6",Lana Del Rey,61.0,National Anthem
Krewella,"1,5,4,6",electronic,53.0,Enjoy the Ride
Krewella,"1,5,4,6",dance,53.0,Enjoy the Ride
Krewella,"1,5,4,6",pop,53.0,Enjoy the Ride
Krewella,"1,5,4,6",House,53.0,Enjoy the Ride
Krewella,"1,5,4,6",dubstep,53.0,Enjoy the Ride
Jimi Hendrix,"1,5,4,6",classic rock,62.0,Castles Made of Sand
Jimi Hendrix,"1,5,4,6",rock,62.0,Castles Made of Sand
Jimi Hendrix,"1,5,4,6",psychedelic,62.0,Castles Made of Sand
Jimi Hendrix,"1,5,4,6",60s,62.0,Castles Made of Sand
Jimi Hendrix,"1,5,4,6",blues,62.0,Castles Made of Sand
Pitbull feat Kesha,"1,5,4,6",pop,61.0,Timber
Pitbull feat Kesha,"1,5,4,6",dance,61.0,Timber
Pitbull feat Kesha,"1,5,4,6",party,61.0,Timber
Pitbull feat Kesha,"1,5,4,6",timber,61.0,Timber
Pitbull feat Kesha,"1,5,4,6",2013,61.0,Timber
Foo Fighters,"1,5,4,6",rock,71.0,My Hero
Foo Fighters,"1,5,4,6",alternative rock,71.0,My Hero
Foo Fighters,"1,5,4,6",alternative,71.0,My Hero
Foo Fighters,"1,5,4,6",foo fighters,71.0,My Hero
Foo Fighters,"1,5,4,6",Grunge,71.0,My Hero
Boards of Canada,"1,5,4,6",electronic,56.0,Roygbiv
Boards of Canada,"1,5,4,6",ambient,56.0,Roygbiv
Boards of Canada,"1,5,4,6",chillout,56.0,Roygbiv
Boards of Canada,"1,5,4,6",idm,56.0,Roygbiv
Boards of Canada,"1,5,4,6",electronica,56.0,Roygbiv
Sandra,"1,5,4,6",pop,34.0,Around My Heart
Sandra,"1,5,4,6",80s,34.0,Around My Heart
Sandra,"1,5,4,6",Sandra,34.0,Around My Heart
Sandra,"1,5,4,6",dance,34.0,Around My Heart
Sandra,"1,5,4,6",german,34.0,Around My Heart
Steve Winwood,"1,5,4,6",80s,66.0,Valerie
Steve Winwood,"1,5,4,6",classic rock,66.0,Valerie
Steve Winwood,"1,5,4,6",pop,66.0,Valerie
Steve Winwood,"1,5,4,6",steve winwood,66.0,Valerie
Steve Winwood,"1,5,4,6",rock,66.0,Valerie
Natasha Bedingfield,"1,5,4,6",pop,64.0,Pocketful of Sunshine
Natasha Bedingfield,"1,5,4,6",Natasha Bedingfield,64.0,Pocketful of Sunshine
Natasha Bedingfield,"1,5,4,6",female vocalists,64.0,Pocketful of Sunshine
Natasha Bedingfield,"1,5,4,6",upbeat,64.0,Pocketful of Sunshine
Natasha Bedingfield,"1,5,4,6",2008,64.0,Pocketful of Sunshine
Ed Sheeran,"1,5,4,6",Soundtrack,66.0,I See Fire
Ed Sheeran,"1,5,4,6",folk,66.0,I See Fire
Ed Sheeran,"1,5,4,6",Ed Sheeran,66.0,I See Fire
Ed Sheeran,"1,5,4,6",indie,66.0,I See Fire
Ed Sheeran,"1,5,4,6",male vocalists,66.0,I See Fire
Panda Bear,"1,5,4,6",experimental,39.0,Bros
Panda Bear,"1,5,4,6",psychedelic,39.0,Bros
Panda Bear,"1,5,4,6",freak folk,39.0,Bros
Panda Bear,"1,5,4,6",indie,39.0,Bros
Panda Bear,"1,5,4,6",folk,39.0,Bros
Jonathan Coulton,"1,5,4,6",geek,46.0,Code Monkey
Jonathan Coulton,"1,5,4,6",comedy,46.0,Code Monkey
Jonathan Coulton,"1,5,4,6",funny,46.0,Code Monkey
Jonathan Coulton,"1,5,4,6",rock,46.0,Code Monkey
Jonathan Coulton,"1,5,4,6",monkey,46.0,Code Monkey
Alesso,"1,5,4,6",trance,59.0,Sweet Escape
Alesso,"1,5,4,6",pop,59.0,Sweet Escape
Alesso,"1,5,4,6",dance,59.0,Sweet Escape
Alesso,"1,5,4,6",dance pop,59.0,Sweet Escape
Miley Cyrus,"1,5,4,6",pop,58.0,See You Again
Miley Cyrus,"1,5,4,6",Miley Cyrus,58.0,See You Again
Miley Cyrus,"1,5,4,6",dance,58.0,See You Again
Miley Cyrus,"1,5,4,6",guilty pleasure,58.0,See You Again
Miley Cyrus,"1,5,4,6",catchy,58.0,See You Again
The Mighty Mighty Bosstones,"1,5,4,6",ska,31.0,Don't Worry Desmond Dekker
The Mighty Mighty Bosstones,"1,5,4,6",seen live,31.0,Don't Worry Desmond Dekker
The Mighty Mighty Bosstones,"1,5,4,6",rock,31.0,Don't Worry Desmond Dekker
The Mighty Mighty Bosstones,"1,5,4,6",punk,31.0,Don't Worry Desmond Dekker
The Mighty Mighty Bosstones,"1,5,4,6",ska punk,31.0,Don't Worry Desmond Dekker
CRO,"1,5,4,6",german,63.0,Traum
CRO,"1,5,4,6",hip hop,63.0,Traum
CRO,"1,5,4,6",rap,63.0,Traum
CRO,"1,5,4,6",party,63.0,Traum
CRO,"1,5,4,6",wake-up song,63.0,Traum
Bon Jovi,"1,5,4,6",rock,78.0,Always
Bon Jovi,"1,5,4,6",classic rock,78.0,Always
Bon Jovi,"1,5,4,6",Ballad,78.0,Always
Bon Jovi,"1,5,4,6",love songs,78.0,Always
Bon Jovi,"1,5,4,6",bon jovi,78.0,Always
Rise Against,"1,5,4,6",punk rock,52.0,The Good Left Undone
Rise Against,"1,5,4,6",rock,52.0,The Good Left Undone
Rise Against,"1,5,4,6",punk,52.0,The Good Left Undone
Rise Against,"1,5,4,6",melodic hardcore,52.0,The Good Left Undone
Rise Against,"1,5,4,6",hardcore,52.0,The Good Left Undone
Cloud Nothings,"1,5,4,6",indie rock,25.0,Quieter Today
Cloud Nothings,"1,5,4,6",indie,25.0,Quieter Today
Cloud Nothings,"1,5,4,6",rock,25.0,Quieter Today
Cloud Nothings,"1,5,4,6",groovy,25.0,Quieter Today
Cloud Nothings,"1,5,4,6",love at first listen,25.0,Quieter Today
Adele,"1,5,4,6",soul,73.0,Hello
Adele,"1,5,4,6",pop,73.0,Hello
Adele,"1,5,4,6",2015,73.0,Hello
Adele,"1,5,4,6",british,73.0,Hello
Adele,"1,5,4,6",female vocalists,73.0,Hello
Flo Rida,"1,5,4,6",party,73.0,Good Feeling
Flo Rida,"1,5,4,6",Hip-Hop,73.0,Good Feeling
Flo Rida,"1,5,4,6",electronic,73.0,Good Feeling
Flo Rida,"1,5,4,6",2011,73.0,Good Feeling
Flo Rida,"1,5,4,6",dance,73.0,Good Feeling
Fall Out Boy,"1,5,4,6",rock,66.0,Irresistible
Fall Out Boy,"1,5,4,6",alternative,66.0,Irresistible
Fall Out Boy,"1,5,4,6",pop rock,66.0,Irresistible
Fall Out Boy,"1,5,4,6",pop punk,66.0,Irresistible
Fall Out Boy,"1,5,4,6",love at first listen,66.0,Irresistible
Nicki Minaj,"1,5,4,6",pop,62.0,Va Va Voom
Nicki Minaj,"1,5,4,6",dance,62.0,Va Va Voom
Nicki Minaj,"1,5,4,6",why on earth is this just a bonus track,62.0,Va Va Voom
Nicki Minaj,"1,5,4,6",party,62.0,Va Va Voom
Nicki Minaj,"1,5,4,6",FUCKING AWESOME,62.0,Va Va Voom
Coleman Hell,"1,5,4,6",one hit wonder,60.0,2 Heads
Coleman Hell,"1,5,4,6",Worst Song Ever,60.0,2 Heads
Coleman Hell,"1,5,4,6",alternative,60.0,2 Heads
Coleman Hell,"1,5,4,6",Canadian,60.0,2 Heads
Coleman Hell,"1,5,4,6",not indie,60.0,2 Heads
Dax Johnson,"1,5,4,6",melting away,8.0,The Random And The Purpose
The Connells,"1,5,4,6",rock,67.0,'74-'75
The Connells,"1,5,4,6",90s,67.0,'74-'75
The Connells,"1,5,4,6",pop,67.0,'74-'75
The Connells,"1,5,4,6",one hit wonder,67.0,'74-'75
The Connells,"1,5,4,6",classic rock,67.0,'74-'75
Beck,"1,5,4,6",indie,57.0,Blue Moon
Beck,"1,5,4,6",singer-songwriter,57.0,Blue Moon
Beck,"1,5,4,6",fip,57.0,Blue Moon
Beck,"1,5,4,6",rock,57.0,Blue Moon
Beck,"1,5,4,6",alternative rock,57.0,Blue Moon
The Coral,"1,5,4,6",indie,50.0,Dreaming Of You
The Coral,"1,5,4,6",indie rock,50.0,Dreaming Of You
The Coral,"1,5,4,6",scrubs,50.0,Dreaming Of You
The Coral,"1,5,4,6",british,50.0,Dreaming Of You
The Coral,"1,5,4,6",rock,50.0,Dreaming Of You
Ahrix,"1,5,4,6",lovedbyme,63.0,Nova
Ahrix,"1,5,4,6",feweurokay,63.0,Nova
Ahrix,"1,5,4,6",fewtrem1,63.0,Nova
Ahrix,"1,5,4,6",lovedbyme1,63.0,Nova
Blink-182,"1,5,4,6",punk rock,54.0,No Future
Blink-182,"1,5,4,6",pop punk,54.0,No Future
Blink-182,"1,5,4,6",2010s,54.0,No Future
Labrinth feat Emeli Sande,"1,4,5",pop,60.0,Beneath Your Beautiful
Labrinth feat Emeli Sande,"1,4,5",beautiful,60.0,Beneath Your Beautiful
Labrinth feat Emeli Sande,"1,4,5",Labrinth,60.0,Beneath Your Beautiful
Labrinth feat Emeli Sande,"1,4,5",female vocalists,60.0,Beneath Your Beautiful
Labrinth feat Emeli Sande,"1,4,5",male vocalists,60.0,Beneath Your Beautiful
Leonard Cohen,"1,4,5",singer-songwriter,66.0,Hallelujah
Leonard Cohen,"1,4,5",leonard cohen,66.0,Hallelujah
Leonard Cohen,"1,4,5",folk,66.0,Hallelujah
Leonard Cohen,"1,4,5",Canadian,66.0,Hallelujah
Leonard Cohen,"1,4,5",spiritual,66.0,Hallelujah
One Direction,"1,4,5",pop,68.0,What Makes You Beautiful
One Direction,"1,4,5",one direction,68.0,What Makes You Beautiful
One Direction,"1,4,5",catchy,68.0,What Makes You Beautiful
One Direction,"1,4,5",british,68.0,What Makes You Beautiful
One Direction,"1,4,5",cutieee,68.0,What Makes You Beautiful
Owl City,"1,4,5",electronic,80.0,Fireflies
Owl City,"1,4,5",pop,80.0,Fireflies
Owl City,"1,4,5",Owl City,80.0,Fireflies
Owl City,"1,4,5",catchy,80.0,Fireflies
Owl City,"1,4,5",00s,80.0,Fireflies
Pink,"1,4,5",pop,72.0,Who Knew
Pink,"1,4,5",pink,72.0,Who Knew
Pink,"1,4,5",rock,72.0,Who Knew
Pink,"1,4,5",female vocalists,72.0,Who Knew
Pink,"1,4,5",pop rock,72.0,Who Knew
Rihanna,"1,4,5",pop,73.0,Unfaithful
Rihanna,"1,4,5",Rihanna,73.0,Unfaithful
Rihanna,"1,4,5",rnb,73.0,Unfaithful
Rihanna,"1,4,5",female vocalists,73.0,Unfaithful
Rihanna,"1,4,5",unfaithful,73.0,Unfaithful
Ritchie Valen,"1,4,5",oldies,43.0,La Bamba
Ritchie Valen,"1,4,5",50s,43.0,La Bamba
Ritchie Valen,"1,4,5",rock n roll,43.0,La Bamba
Ritchie Valen,"1,4,5",latin,43.0,La Bamba
Ritchie Valen,"1,4,5",rock,43.0,La Bamba
The Pogues,"1,4,5",irish,43.0,Streams of Whiskey
The Pogues,"1,4,5",folk,43.0,Streams of Whiskey
The Pogues,"1,4,5",Irish Punk,43.0,Streams of Whiskey
The Pogues,"1,4,5",celtic,43.0,Streams of Whiskey
The Pogues,"1,4,5",punk,43.0,Streams of Whiskey
Weezer,"1,4,5",rock,73.0,Buddy Holly
Weezer,"1,4,5",alternative,73.0,Buddy Holly
Weezer,"1,4,5",90s,73.0,Buddy Holly
Weezer,"1,4,5",alternative rock,73.0,Buddy Holly
Weezer,"1,4,5",weezer,73.0,Buddy Holly
Afroman,"1,4,5",rap,69.0,Because I Got High
Afroman,"1,4,5",Hip-Hop,69.0,Because I Got High
Afroman,"1,4,5",comedy,69.0,Because I Got High
Afroman,"1,4,5",because i got high,69.0,Because I Got High
Afroman,"1,4,5",hip hop,69.0,Because I Got High
Jeff Buckley,"1,4,5",beautiful,74.0,Hallelujah
Jeff Buckley,"1,4,5",singer-songwriter,74.0,Hallelujah
Jeff Buckley,"1,4,5",acoustic,74.0,Hallelujah
Jeff Buckley,"1,4,5",cover,74.0,Hallelujah
Jeff Buckley,"1,4,5",rock,74.0,Hallelujah
James Blunt,"1,4,5",pop,78.0,You're Beautiful
James Blunt,"1,4,5",JAMES BLUNT,78.0,You're Beautiful
James Blunt,"1,4,5",Love,78.0,You're Beautiful
James Blunt,"1,4,5",singer-songwriter,78.0,You're Beautiful
James Blunt,"1,4,5",rock,78.0,You're Beautiful
Porter Robinson,"1,4,5",electro house,42.0,Unison
Porter Robinson,"1,4,5",electronic,42.0,Unison
Porter Robinson,"1,4,5",dubstep,42.0,Unison
Porter Robinson,"1,4,5",electro,42.0,Unison
Porter Robinson,"1,4,5",epic,42.0,Unison
The Beatles,"1,4,5",60s,47.0,All Together Now
The Beatles,"1,4,5",classic rock,47.0,All Together Now
The Beatles,"1,4,5",british,47.0,All Together Now
The Beatles,"1,4,5",pop,47.0,All Together Now
The Beatles,"1,4,5",rock,47.0,All Together Now
Brooke Fraser,"1,4,5",female vocalists,38.0,Something In The Water
Brooke Fraser,"1,4,5",pop,38.0,Something In The Water
Brooke Fraser,"1,4,5",acoustic,38.0,Something In The Water
Brooke Fraser,"1,4,5",pop rock,38.0,Something In The Water
Brooke Fraser,"1,4,5",Kiwi,38.0,Something In The Water
Muse,"1,4,5",alternative rock,71.0,Time Is Running Out
Muse,"1,4,5",rock,71.0,Time Is Running Out
Muse,"1,4,5",alternative,71.0,Time Is Running Out
Muse,"1,4,5",Muse,71.0,Time Is Running Out
Muse,"1,4,5",indie,71.0,Time Is Running Out
Krewella,"1,4,5",electronic,57.0,Alive
Krewella,"1,4,5",House,57.0,Alive
Krewella,"1,4,5",dubstep,57.0,Alive
Krewella,"1,4,5",dance,57.0,Alive
Krewella,"1,4,5",Progressive House,57.0,Alive
The Rolling Stones,"1,4,5",classic rock,73.0,Wild Horses
The Rolling Stones,"1,4,5",rock,73.0,Wild Horses
The Rolling Stones,"1,4,5",the rolling stones,73.0,Wild Horses
The Rolling Stones,"1,4,5",70s,73.0,Wild Horses
The Rolling Stones,"1,4,5",british,73.0,Wild Horses
Rascal Flatts,"1,4,5",country,28.0,Bless The Broken Road
Rascal Flatts,"1,4,5",rascal flatts,28.0,Bless The Broken Road
Rascal Flatts,"1,4,5",Love,28.0,Bless The Broken Road
Rascal Flatts,"1,4,5",love songs,28.0,Bless The Broken Road
Rascal Flatts,"1,4,5",bless the broken road,28.0,Bless The Broken Road
The Cure,"1,4,5",80s,62.0,Lovesong
The Cure,"1,4,5",new wave,62.0,Lovesong
The Cure,"1,4,5",alternative,62.0,Lovesong
The Cure,"1,4,5",post-punk,62.0,Lovesong
The Cure,"1,4,5",rock,62.0,Lovesong
Warren Zevon,"1,4,5",rock,22.0,Please Stay
Warren Zevon,"1,4,5",singer songwriter,22.0,Please Stay
Warren Zevon,"1,4,5",stay,22.0,Please Stay
Warren Zevon,"1,4,5",downtempo,22.0,Please Stay
Warren Zevon,"1,4,5",singer-songwriter,22.0,Please Stay
Wolfgang Gartner,"1,4,5",electro house,29.0,Space Junk
Wolfgang Gartner,"1,4,5",House,29.0,Space Junk
Wolfgang Gartner,"1,4,5",electronic,29.0,Space Junk
Wolfgang Gartner,"1,4,5",electro,29.0,Space Junk
Wolfgang Gartner,"1,4,5",Eargasm,29.0,Space Junk
Pink,"1,4,5",pop,60.0,Trouble
Pink,"1,4,5",pop rock,60.0,Trouble
Pink,"1,4,5",rock,60.0,Trouble
Pink,"1,4,5",pink,60.0,Trouble
Pink,"1,4,5",female vocalists,60.0,Trouble
The Killers,"1,4,5",rock,77.0,When You Were Young
The Killers,"1,4,5",indie rock,77.0,When You Were Young
The Killers,"1,4,5",indie,77.0,When You Were Young
The Killers,"1,4,5",alternative,77.0,When You Were Young
The Killers,"1,4,5",alternative rock,77.0,When You Were Young
Johann Pachelbel,"1,4,5",Classical,37.0,Canon in D Major
Johann Pachelbel,"1,4,5",baroque,37.0,Canon in D Major
Johann Pachelbel,"1,4,5",instrumental,37.0,Canon in D Major
Johann Pachelbel,"1,4,5",Pachelbel,37.0,Canon in D Major
Johann Pachelbel,"1,4,5",classic,37.0,Canon in D Major
Krewella,"1,4,5",dubstep,44.0,One Minute
Krewella,"1,4,5",electronic,44.0,One Minute
Krewella,"1,4,5",electropop,44.0,One Minute
Krewella,"1,4,5",under 2000 listeners,44.0,One Minute
Krewella,"1,4,5",indie,44.0,One Minute
The Fray,"1,4,5",alternative,82.0,How To Save A Life
The Fray,"1,4,5",rock,82.0,How To Save A Life
The Fray,"1,4,5",piano rock,82.0,How To Save A Life
The Fray,"1,4,5",indie,82.0,How To Save A Life
The Fray,"1,4,5",alternative rock,82.0,How To Save A Life
Neon Trees,"1,4,5",alternative,74.0,Everybody Talks
Neon Trees,"1,4,5",indie rock,74.0,Everybody Talks
Neon Trees,"1,4,5",catchy,74.0,Everybody Talks
Neon Trees,"1,4,5",summer,74.0,Everybody Talks
Neon Trees,"1,4,5",indie,74.0,Everybody Talks
Charles Wright,"1,4,5",funk,39.0,Express Yourself
Charles Wright,"1,4,5",soul,39.0,Express Yourself
Charles Wright,"1,4,5",funky,39.0,Express Yourself
Charles Wright,"1,4,5",GTA,39.0,Express Yourself
Charles Wright,"1,4,5",pop,39.0,Express Yourself
Green Day,"1,4,5",punk rock,59.0,Stray Heart
Green Day,"1,4,5",rock,59.0,Stray Heart
Green Day,"1,4,5",alternative,59.0,Stray Heart
Green Day,"1,4,5",Garage Rock,59.0,Stray Heart
Green Day,"1,4,5",punk,59.0,Stray Heart
Madonna,"1,4,5",pop,75.0,Material Girl
Madonna,"1,4,5",80s,75.0,Material Girl
Madonna,"1,4,5",Madonna,75.0,Material Girl
Madonna,"1,4,5",dance,75.0,Material Girl
Madonna,"1,4,5",female vocalists,75.0,Material Girl
Neutral Milk Hotel,"1,4,5",indie,57.0,Two-Headed Boy
Neutral Milk Hotel,"1,4,5",folk,57.0,Two-Headed Boy
Neutral Milk Hotel,"1,4,5",acoustic,57.0,Two-Headed Boy
Neutral Milk Hotel,"1,4,5",indie rock,57.0,Two-Headed Boy
Neutral Milk Hotel,"1,4,5",neutral milk hotel,57.0,Two-Headed Boy
Magnetic Fields,"1,4,5",acoustic,27.0,Acoustic Guitar
Magnetic Fields,"1,4,5",indie pop,27.0,Acoustic Guitar
Magnetic Fields,"1,4,5",indie,27.0,Acoustic Guitar
Magnetic Fields,"1,4,5",rock,27.0,Acoustic Guitar
Magnetic Fields,"1,4,5",female vocalist,27.0,Acoustic Guitar
Weird Al Yankovic,"1,4,5",comedy,40.0,Everything You Know Is Wrong
Weird Al Yankovic,"1,4,5",parody,40.0,Everything You Know Is Wrong
Weird Al Yankovic,"1,4,5",They Might Be Giants,40.0,Everything You Know Is Wrong
Weird Al Yankovic,"1,4,5",rock,40.0,Everything You Know Is Wrong
Weird Al Yankovic,"1,4,5",pop,40.0,Everything You Know Is Wrong
The Avett Brothers,"1,4,5",folk,51.0,Kick Drum Heart
The Avett Brothers,"1,4,5",indie,51.0,Kick Drum Heart
The Avett Brothers,"1,4,5",Alt-country,51.0,Kick Drum Heart
The Avett Brothers,"1,4,5",catchy,51.0,Kick Drum Heart
The Avett Brothers,"1,4,5",happy,51.0,Kick Drum Heart
Queen,"1,4,5",classic rock,58.0,Under pressure
Queen,"1,4,5",rock,58.0,Under pressure
Queen,"1,4,5",Queen,58.0,Under pressure
Queen,"1,4,5",80s,58.0,Under pressure
Queen,"1,4,5",glam rock,58.0,Under pressure
They Might Be Giants,"1,4,5",alternative,25.0,Where Your Eyes Don't Go
They Might Be Giants,"1,4,5",pop,25.0,Where Your Eyes Don't Go
They Might Be Giants,"1,4,5",rock,25.0,Where Your Eyes Don't Go
They Might Be Giants,"1,4,5",favorites,25.0,Where Your Eyes Don't Go
They Might Be Giants,"1,4,5",Retro,25.0,Where Your Eyes Don't Go
Avicii,"1,4,5",electronic,60.0,Dear Boy
Avicii,"1,4,5",House,60.0,Dear Boy
Avicii,"1,4,5",dance,60.0,Dear Boy
Avicii,"1,4,5",techno,60.0,Dear Boy
Avicii,"1,4,5",electronica,60.0,Dear Boy
Outkast,"1,4,5",Hip-Hop,80.0,Hey Ya
Outkast,"1,4,5",funk,80.0,Hey Ya
Outkast,"1,4,5",dance,80.0,Hey Ya
Outkast,"1,4,5",pop,80.0,Hey Ya
Outkast,"1,4,5",hip hop,80.0,Hey Ya
Rick Astley,"1,4,5",80s,27.0,Together Forever
Rick Astley,"1,4,5",pop,27.0,Together Forever
Rick Astley,"1,4,5",dance,27.0,Together Forever
Rick Astley,"1,4,5",new wave,27.0,Together Forever
Rick Astley,"1,4,5",synthpop,27.0,Together Forever
Tracy Chapman,"1,4,5",blues,71.0,Give me one reason
Tracy Chapman,"1,4,5",female vocalists,71.0,Give me one reason
Tracy Chapman,"1,4,5",folk,71.0,Give me one reason
Tracy Chapman,"1,4,5",singer-songwriter,71.0,Give me one reason
Tracy Chapman,"1,4,5",90s,71.0,Give me one reason
UB40,"1,4,5",reggae,76.0,Red Red Wine
UB40,"1,4,5",80s,76.0,Red Red Wine
UB40,"1,4,5",pop,76.0,Red Red Wine
UB40,"1,4,5",british,76.0,Red Red Wine
UB40,"1,4,5",UB40,76.0,Red Red Wine
Ben Folds Five,"1,4,5",piano,58.0,Brick
Ben Folds Five,"1,4,5",sad,58.0,Brick
Ben Folds Five,"1,4,5",alternative,58.0,Brick
Ben Folds Five,"1,4,5",piano rock,58.0,Brick
Ben Folds Five,"1,4,5",90s,58.0,Brick
INXS,"1,4,5",80s,61.0,Never Tear us Apart
INXS,"1,4,5",rock,61.0,Never Tear us Apart
INXS,"1,4,5",INXS,61.0,Never Tear us Apart
INXS,"1,4,5",pop,61.0,Never Tear us Apart
INXS,"1,4,5",australian,61.0,Never Tear us Apart
Howard Shore,"1,4,5",Soundtrack,66.0,Concerning Hobbits
Howard Shore,"1,4,5",instrumental,66.0,Concerning Hobbits
