0,cp,section,song,type,song (last.fm),artist (last.fm),listener count (last.fm),play count (last.fm),genre (last.fm),song (Spotify),artist (Spotify),popularity (Spotify),release date (Spotify)
3OH3,"1,5,6",Chorus,Don't Trust Me,3 chord,Don't Trust Me,3OH!3,395062.0,3854307.0,"electronic, dance, pop, electropop, fun",Don't Trust Me,3OH!3,34.0,2019-09-06
3OH3,"1,6,5",Chorus,Double Vision,3 chord,Double Vision,3OH!3,97430.0,909863.0,"electronic, pop, electro, fun, love at first listen",Double Vision,3OH!3,52.0,2010-06-25
4 Non Blondes,"1,2,4",Intro,What's Up,3 chord,What's Up,4 Non Blondes,290462.0,1474512.0,"90s, rock, female vocalists, alternative, pop",,,,
4 Strings,"1,5,6",Pre-Chorus and Chorus,Take Me Away,3 chord,Take Me Away,4 Strings,20804.0,122066.0,"trance, vocal trance, dance, electronic, female vocalists",,,,
40meterP,"5,1,4",Chorus,Renai Saiban - Love Trial,3 chord,,,,,,,,,
4minute,"6,4,1",Chorus,Cut It Out,3 chord,Cut it Out,4minute,7188.0,51131.0,k-pop,,,,
4minute,"6,4,1",Verse,Hate,3 chord,Hate,4minute,34573.0,390369.0,"k-pop, pop, Korean, Kpop, rap",,,,
5 Seconds Of Summer,"6,4,1",Chorus,Amnesia,3 chord,Amnesia,5 Seconds of Summer,123096.0,843487.0,"australian, pop, pop rock, love at first listen, 5SOS",Amnesia,5 Seconds of Summer,70.0,2014-06-27
98 Degrees,"1,4,1",Chorus,The Hardest Thing,3 chord,The hardest thing,98 Degrees,35893.0,141904.0,"pop, romantic, 90s, 98 Degrees, Love",,,,
A Day To Remember,"1,5,1",Pre-Chorus and Chorus,Downfall Of Us All,3 chord,Downfall Of Us All,A Day to Remember,4193.0,35164.0,Rockgarden,,,,
A Great Big World,"1,5,6",Intro,Say Something,3 chord,Say Something,A Great Big World,353518.0,2516615.0,"indie pop, indie, sad, pop, piano",Say Something,A Great Big World,80.0,2014-01-17
A Perfect Circle,"4,1,5",Verse,3 Libras,3 chord,3 Libras,A Perfect Circle,430690.0,3423116.0,"alternative rock, Progressive rock, rock, alternative, A Perfect Circle",3 Libras,A Perfect Circle,62.0,2000-01-01
A Perfect Circle,"1,5,4",Pre-Chorus and Chorus,The nurse who loved me,3 chord,The Nurse Who Loved Me,A Perfect Circle,260505.0,1579550.0,"alternative rock, Progressive rock, rock, alternative, A Perfect Circle",The Nurse Who Loved Me,A Perfect Circle,46.0,2003-01-01
A R Rahman,"1,4,5",Chorus,Roja,3 chord,Roja,A.R. Rahman,760.0,2568.0,,,,,
A-ha,"1,5,4",Chorus,Take On Me,3 chord,Take on Me,a-ha,1196935.0,7606685.0,"80s, pop, new wave, synthpop, synth pop",Take on Me,a-ha,85.0,1985-06-01
A-ha,"4,1,5",Intro,The Sun Always Shines On TV,3 chord,The Sun Always Shines on TV,a-ha,123160.0,587858.0,"80s, pop, new wave, synthpop, a-ha",,,,
ABBA,"6,5,6",Verse,Dancing Queen,3 chord,Dancing Queen,ABBA,789322.0,4170396.0,"pop, Disco, 70s, abba, dance",Dancing Queen,ABBA,74.0,1976
ABBA,"6,5,6",Intro,Gimme Gimme Gimme A Man After Midnight,3 chord,Gimme gimme gimme a man after midnight,ABBA,220.0,1277.0,,,,,
ABBA,"5,2,5",Chorus,Happy New Year,3 chord,Happy New Year,ABBA,172893.0,638322.0,"pop, christmas, new year, abba, 70s",Happy New Year,ABBA,40.0,1980
ABBA,"1,6,3",Outro,Knowing Me Knowing You,3 chord,Knowing Me Knowing You,ABBA,14808.0,69626.0,"pop, Disco, Europop, 70s, 80s",,,,
ABBA,"1,5,4",Pre-Chorus,Mamma Mia,3 chord,Mamma Mia,ABBA,541183.0,2615724.0,"pop, 70s, abba, Disco, swedish",Mamma Mia,ABBA,65.0,1975
ABBA,"1,5,2",Verse,SOS,3 chord,SOS,ABBA,65045.0,301910.0,"pop, Disco, 70s, swedish, abba",,,,
ABBA,"1,5,4",Chorus,So Long,3 chord,So Long,ABBA,68261.0,238998.0,"pop, 70s, abba, rock, swedish",So Long,ABBA,40.0,1975
ABBA,"1,5,1",Chorus,Waterloo,3 chord,Waterloo,ABBA,368422.0,1657133.0,"pop, 70s, abba, Disco, swedish",Waterloo,ABBA,59.0,1974-01-01
AC DC,"4,1,4",Chorus,Highway to Hell,3 chord,Highway to Hell,AC/DC,1048514.0,7861282.0,"hard rock, rock, classic rock, ACDC, heavy metal",Highway to Hell,AC/DC,85.0,1979-07-27
AFI,"1,5,6",Chorus,Girl's Not Grey,3 chord,Girl's Not Grey,AFI,318185.0,2059488.0,"punk rock, punk, rock, AFI, emo",Girl's Not Grey,AFI,59.0,2003
AFI,"1,5,6",Chorus,Miss Murder,3 chord,Miss Murder,AFI,571456.0,4204481.0,"rock, punk, alternative, punk rock, emo",Miss Murder,AFI,72.0,2006-06-06
AKB48,"4,5,1",Chorus,Heavy Rotation,3 chord,Heavy Rotation,AKB48,5486.0,82342.0,"akb48, j-pop, japanese, heavy rotation, 9 of 10 stars",,,,
AKB48,"1,6,5",Verse,Sugar Rush,3 chord,Sugar Rush,AKB48,16732.0,140310.0,"Soundtrack, akb48, j-pop, Disney, AKB48 Sugar Rush",,,,
AM Taxi,"1,6,4",Intro,Charissa,3 chord,Charissa,AM Taxi,3573.0,23648.0,"punk rock, songs from my 2010",Charissa,AM Taxi,34.0,2010
AM Taxi,"1,4,6",Chorus,Tanner Boyle vs the 7th Grade,3 chord,Tanner Boyle Vs. The 7th Grade,AM Taxi,2667.0,18684.0,,,,,
ARRahman ft Pussycat Dolls,"6,5,6",Intro,Jai Ho - You Are My Destiny,3 chord,,,,,,,,,
ATB,"4,5,6",Chorus,9pm Till I come,3 chord,9PM Till I Come,ATB,2220.0,13045.0,"trance, dance",,,,
ATB,"4,6,5",Intro,Ecstasy,3 chord,Ecstasy,ATB,201902.0,1477737.0,"trance, dance, vocal trance, electronic, atb",Ecstasy,ATB,54.0,2004-05-24
ATC,"6,3,4",Chorus,Around The World,3 chord,Around the World,ATC,81289.0,547461.0,"dance, pop, electronic, eurodance, techno",,,,
AWESOMEGUY,"1,2,3",Instrumental,NYAN CAT,3 chord,,,,,,,,,
AZEDIA,"6,5,4",Solo,Something,3 chord,Something,Azedia,5460.0,29000.0,"electronic, dubstep",,,,
Aage Aleksandersen,"6,5,1",Intro,Fire Pils Og En Pizza,3 chord,,,,,,,,,
Aage Aleksandersen,"1,5,4",Chorus,Norge Mitt Norge,3 chord,Norge mitt Norge,Aage Aleksandersen,2.0,3.0,,,,,
Above and Beyond,"1,5,4",Intro,Good For Me - Ambient Mix -,3 chord,,,,,,,,,
Above and Beyond,"1,2,6",Pre-Chorus,Sun and Moon,3 chord,Sun and Moon,Above & Beyond,2296.0,17507.0,"trance, abovebeyond",,,,
Above and Beyond feat Alex Vargas,"4,6,5",Verse,All Over The World,3 chord,All Over The World,Above and Beyond feat Alex Vargas,21.0,113.0,,,,,
Absofacto,"1,2,4",Chorus,Dissolve,3 chord,Dissolve,Absofacto,54838.0,307132.0,"cover, Fave Indie Pop, 2015, BIRP, hairy chest",Dissolve,Absofacto,77.0,2017-11-03
Absofacto,"1,6,1",Chorus,Whose Side Are You On Anyway,3 chord,Whose Side Are You On Anyway?,Absofacto,7498.0,30897.0,"Fave Indie Pop, BIRP, airplay, hairy chest",,,,
Absynthe Minded,"1,5,4",Chorus,End Of The Line,3 chord,End Of The Line,Absynthe Minded,7079.0,30293.0,"alternative, belgian, Belgisch, 2013 single, Top Artist 2012",,,,
Absynthe Minded,"6,5,4",Bridge,Papillon,3 chord,Papillon,Absynthe Minded,13962.0,72673.0,"pop, alternative, alternative rock, Eels, Belgisch",,,,
Ace Of Base,"1,6,4",Chorus,I Saw The Sign,3 chord,The Sign,Ace of Base,334851.0,1534004.0,"pop, 90s, dance, eurodance, Ace Of Base",The Sign,Ace of Base,70.0,1993
Ace of Base,"4,1,5",Pre-Chorus,All That She Wants,3 chord,All That She Wants,Ace of Base,518039.0,2332186.0,"90s, pop, dance, eurodance, swedish",All That She Wants,Ace of Base,73.0,1993
Adam Buxton,"1,5,4",Chorus,Counting Song,3 chord,Counting Song,Adam Buxton,107.0,450.0,,,,,
Adam Green and Binki Shapiro,"1,2,3",Chorus,Here I Am,3 chord,Here I Am,Adam Green & Binki Shapiro,8355.0,54405.0,"folk rock, rock, singer-songwriter, 2012, 10s",,,,
Adam Lambert,"1,2,4",Verse,Ghost Town,3 chord,Ghost Town,Adam Lambert,156598.0,1340634.0,"pop, deep house, House, 2015, dance",Ghost Town,Adam Lambert,67.0,2015-06-11
Adam Lambert,"6,1,3",Verse,If i had you,3 chord,If I Had You,Adam Lambert,178288.0,1690160.0,"pop, dance, Adam lambert, rock, male vocalists",If I Had You,Adam Lambert,60.0,2009-11-20
Adam Lambert,"1,4,1",Verse,Whataya Want from Me,3 chord,Whataya Want from Me,Adam Lambert,343391.0,3293866.0,"pop, rock, Adam lambert, American Idol, american",Whataya Want from Me,Adam Lambert,67.0,2009-11-20
Adam Sandler,"1,5,4",Verse,Somebody Kill Me,3 chord,Somebody Kill Me,Adam Sandler,20798.0,75737.0,"Soundtrack, comedy, rock, humour, breakup",Somebody Kill Me,Adam Sandler,45.0,1998
Adam Szabo and Johan Vilborg,"1,4,5",Pre-Chorus,Two To One,3 chord,two to one,adam szabo and johan vilborg,2.0,5.0,,,,,
Adel Tawil,"1,5,6",Verse,Lieder,3 chord,Lieder,Adel Tawil,24329.0,208439.0,"pop, rock, deutsch, german, Musikgruppe Berufsbildungswerk Neumuenster",Lieder,Adel Tawil,61.0,2013-11-08
Adele,"1,5,6",Chorus,Hello,3 chord,Hello,Adele,430211.0,4403510.0,"soul, pop, 2015, british, female vocalists",Hello,Adele,73.0,2016-06-24
Adele,"4,5,6",Chorus,Rolling In The Deep,3 chord,Rolling in the Deep,Adele,1280514.0,13466512.0,"soul, Adele, female vocalists, pop, british",Rolling in the Deep,Adele,76.0,2011-01-19
Adele,"1,6,5",Chorus,Send My Love,3 chord,Send My Love,Adele,1842.0,27550.0,,,,,
Adele,"1,5,2",Verse,Set Fire to the Rain,3 chord,Set Fire to the Rain,Adele,890335.0,9262204.0,"soul, Adele, female vocalists, pop, british",Set Fire to the Rain,Adele,76.0,2011-01-19
Adele,"1,5,2",Intro,Set The Fire To The Rain,3 chord,Set The Fire To The Rain,Adele,424.0,4551.0,,,,,
Adele,"1,5,6",Chorus,Someone Like You,3 chord,Someone Like You,Adele,1023520.0,10250722.0,"Adele, soul, piano, british, female vocals",Someone Like You,Adele,80.0,2011-01-19
Adele,"5,2,1",Chorus,Turning Tables,3 chord,Turning Tables,Adele,556484.0,4292406.0,"soul, Adele, pop, female vocalists, piano",Turning Tables,Adele,68.0,2011-01-19
Adele,"4,5,6",Chorus,When We Were Young,3 chord,When We Were Young,Adele,247415.0,1951621.0,"soul, pop, british, Ballad, 2015",When We Were Young,Adele,75.0,2016-06-24
Adrian Lux,"6,2,4",Chorus,Teenage Crime,3 chord,Teenage Crime,Adrian Lux,36638.0,264889.0,"dance, House, summer, club, dancefloor",Teenage Crime,Adrian Lux,29.0,2010-05-31
Adrian Lux,"1,5,4",Chorus,Weekend Heroes - Bauer and Lanford Remix,3 chord,,,,,,,,,
Adult Swim,"4,5,1",Chorus,Too Many Cooks Theme Song,3 chord,,,,,,,,,
Adventure Club,"4,5,6",Intro,Wonder,3 chord,Wonder,Adventure Club,4984.0,24601.0,,,,,
Adventure Time,"5,1,6",Verse,Oh Bubblegum,3 chord,Oh Bubblegum,Adventure Time,486.0,1314.0,,Oh Bubblegum,Adventure Time,36.0,2019-05-01
Aerosmith,"1,6,4",Chorus,Crazy,3 chord,Crazy,Aerosmith,658742.0,3522535.0,"rock, classic rock, aerosmith, hard rock, 90s",Crazy,Aerosmith,75.0,1993-01-01
Aerosmith,"1,5,6",Verse,Cryin',3 chord,Cryin',Aerosmith,567063.0,2970510.0,"rock, classic rock, hard rock, aerosmith, 90s",Cryin',Aerosmith,72.0,1993-01-01
Aerosmith,"4,5,1",Chorus,I Don't Want To Miss A Thing,3 chord,I Don't Want to Miss a Thing,Aerosmith,878418.0,5025588.0,"rock, classic rock, aerosmith, Soundtrack, Love",,,,
Aesop Rock,"1,2,1",Instrumental,Daylight,3 chord,Daylight,Aesop Rock,180771.0,1241290.0,"Hip-Hop, underground hip-hop, rap, hip hop, aesop rock",Daylight,Aesop Rock,53.0,2001-09-18
Afrojack,"1,5,2",Chorus,Ten Feet Tall,3 chord,Ten Feet Tall,Afrojack,99429.0,474094.0,"electronic, House, pop, piano, summer",Ten Feet Tall,Afrojack,66.0,2014-01-01
Afrojack,"4,1,5",Chorus,The Spark,3 chord,The Spark,Afrojack,82600.0,367143.0,"electronic, dance, Afrojack, 2013 single, pop",The Spark,Afrojack,59.0,2014-01-01
Afrojack ft Eva Simons,"6,5,1",Instrumental,Take Over Control,3 chord,Take over control,Afrojack feat. Eva Simons,41910.0,337935.0,"House, dance, electro house, electronic, party",,,,
Afroman,"1,5,1",Verse,Because I Got High,3 chord,Because I Got High,Afroman,310213.0,1212627.0,"rap, Hip-Hop, comedy, because i got high, hip hop",Because I Got High,Afroman,69.0,2001-08-28
Agnes,"1,5,6",Chorus,Right Here Right Now,3 chord,Right Here Right Now,Agnes,2266.0,14717.0,,,,,
Agoaniki-P,"1,4,5",Intro and Verse,Double Lariat - featuring Megurine Luka,3 chord,,,,,,,,,
Ahrix,"1,5,4",Chorus,Nova,3 chord,Nova,Ahrix,20971.0,138351.0,"lovedbyme, feweurokay, fewtrem1, lovedbyme1",Nova,Ahrix,63.0,2017-03-16
Ai Ootsuka,"1,5,6",Chorus,Sakuranbo,3 chord,sakuranbo,大塚愛,10178.0,110810.0,"j-pop, japanese, JPop, pop, Otsuka Ai",,,,
Aimee Mann,"1,5,6",Verse,Ghost World,3 chord,Ghost World,Aimee Mann,45910.0,173465.0,"rock, female vocalists, singer-songwriter, female, alt rock",Ghost World,Aimee Mann,23.0,2000-01-25
Air,"5,2,5",Intro,All I Need,3 chord,All I Need,Air,710334.0,4469060.0,"chillout, electronic, ambient, lounge, chill",,,,
Air,"6,5,1",Verse,Venus,3 chord,Venus,Air,357485.0,1793480.0,"electronic, chillout, ambient, electronica, french",Venus,Air,45.0,2004-01-26
Airbag,"6,4,2",Verse,Sounds That I Hear,3 chord,Sounds that I Hear,Airbag,5501.0,43571.0,"atmospheric rock, neo progressive, Selection",,,,
Alabama Shakes,"1,6,4",Intro,Gimme All Your Love,3 chord,Gimme All Your Love,Alabama Shakes,121700.0,664143.0,"rock, alternative rock, emotional, interessant, alternative",Gimme All Your Love,Alabama Shakes,56.0,2015-04-21
Alan Howarth-John Carpenter,"6,4,2",Intro,Escape From New York Main Theme,3 chord,,,,,,,,,
Alan Parsons Project,"1,6,1",Intro and Verse,Eye In The Sky,3 chord,Eye in the Sky,The Alan Parsons Project,280211.0,1440375.0,"80s, Progressive rock, classic rock, rock, pop",Eye in the Sky,The Alan Parsons Project,44.0,1994
Alan Silvestri,"5,2,5",Outro 2,Back to the Future Theme,3 chord,Back to the Future Theme,Alan Silvestri,3824.0,13297.0,"Soundtrack, euphoria, american artist, back to the future, 5 of 10 stars",,,,
Alan Silvestri,"1,6,4",Chorus,Forest Gump Theme,3 chord,,,,,,,,,
Alan Silvestri,"4,5,6",Instrumental,The Cosmos Is Yours - Cosmos A SpaceTime Odyssey,3 chord,The Cosmos is Yours - Cosmos A SpaceTime Odyssey,Alan Silvestri,1.0,2.0,,,,,
Alan Walker,"1,5,6",Chorus,Faded,3 chord,Faded,Alan Walker,283233.0,2785918.0,"EDM, electronic, pop, dance, House",Faded,Alan Walker,79.0,2015-12-04
Alanis Morissette,"1,6,4",Chorus,Head Over Feet,3 chord,Head Over Feet,Alanis Morissette,406648.0,2133354.0,"rock, female vocalists, 90s, alternative, pop",Head Over Feet,Alanis Morissette,9.0,2017-03-31
Alanis Morissette,"5,1,5",Chorus,Ironic,3 chord,Ironic,Alanis Morissette,702588.0,3962516.0,"rock, female vocalists, 90s, alternative, pop",Ironic,Alanis Morissette,60.0,1995-06-09
Alanis Morissette,"1,5,4",Chorus,You Oughta Know,3 chord,You Oughta Know,Alanis Morissette,521194.0,2841806.0,"rock, female vocalists, 90s, alternative, alternative rock",You Oughta Know,Alanis Morissette,56.0,1995-06-09
Alesso,"4,5,6",Instrumental,Clash,3 chord,Clash,Alesso,7343.0,24774.0,"dubstep, dance, love at first listen, addicting",Clash,Alesso,42.0,2012-12-10
Alesso,"6,1,5",Pre-Chorus and Chorus,Cool Feat Roy English,3 chord,Cool feat Roy English,Alesso,15.0,311.0,,,,,
Alesso,"6,4,1",Chorus,Heroes,3 chord,Heroes,Alesso,10701.0,67708.0,"electronic, pop, dance, epic, Confident",,,,
Alesso,"6,4,1",Chorus,If It Wasn't For You,3 chord,If It Wasn't For You,Alesso,22835.0,101385.0,"dance, pop, forever, bigroom, bigroom house",If It Wasn't For You,Alesso,58.0,2015-05-26
Alesso,"1,4,6",Pre-Chorus and Chorus,Save The World Remix,3 chord,Save The World Remix,Alesso,1.0,1.0,,,,,
Alesso,"1,5,4",Chorus,Sweet Escape,3 chord,Sweet Escape,Alesso,30415.0,129686.0,"trance, pop, dance, dance pop",Sweet Escape,Alesso,59.0,2015-05-26
Alesso,"6,5,4",Chorus,Under Control,3 chord,Under Control,Alesso,11886.0,54172.0,"House, dance, Awesome, best of 2014, bigroom",,,,
Alesso and Dirty South,"6,4,1",Instrumental,City of Dreams,3 chord,City Of Dreams,Dirty South & Alesso,4075.0,18962.0,Progressive House,,,,
Alesso feat Matthew Koma,"1,5,2",Chorus,Years,3 chord,Years,Alesso feat. Matthew Koma,5338.0,27641.0,"party, 2012, 2012 single, featuring, bbc radio1 playlist 2012",,,,
Alestorm,"1,5,6",Chorus,Shipwrecked,3 chord,Shipwrecked,Alestorm,53283.0,405314.0,"pirate metal, folk metal, Power metal, metal, rock band",Shipwrecked,Alestorm,44.0,2011-06-14
Alex Clare,"1,2,4",Intro,Too Close,3 chord,Too Close,Alex Clare,476473.0,3764746.0,"dubstep, electronic, pop, soul, british",Too Close,Alex Clare,61.0,2011
Alex G,"1,4,5",Chorus,Thorns,3 chord,Thorns,Alex G,10929.0,51318.0,fip,,,,
Alex Gaudino,"4,6,5",Instrumental,I'm In Love,3 chord,I'm In Love,Alex Gaudino,17461.0,93091.0,"dance, House, electronic, club, electropop",,,,
Alex Lloyd,"1,5,6",Chorus,Amazing,3 chord,Amazing,Alex Lloyd,27172.0,116408.0,"australian, pop, singer-songwriter, acoustic, amazing",,,,
Alex Mauer,"6,3,6",Intro and Verse,Zenith,3 chord,Zenith,Alex Mauer,909.0,3456.0,8-bit,,,,
Alex Syntek and Ana Torroja,"4,5,6",Verse,Duele El Amor,3 chord,Duele El Amor,Alex Syntek and Ana Torroja,1.0,2.0,,,,,
Alexander Rybak,"6,2,3",Intro,Fairytale,3 chord,Fairytale,Alexander Rybak,112006.0,1180305.0,"Eurovision, folk, eurovision 2009, pop, norwegian",Fairytale,Alexander Rybak,57.0,2009
Alexandra Stan,"1,5,6",Chorus,Get Back ASAP,3 chord,Get Back ASAP,Alexandra Stan,9578.0,46533.0,dance,,,,
Alexandra Stan,"6,2,3",Intro,Mr Saxobeat,3 chord,Mr Saxobeat,Alexandra Stan,34664.0,288647.0,"pop, dance, sunflower, my dance room, electronic",,,,
Alice Cooper,"1,5,6",Pre-Chorus and Chorus,Poison,3 chord,Poison,Alice Cooper,622940.0,4199423.0,"hard rock, rock, classic rock, 80s, metal",Poison,Alice Cooper,72.0,1989-07-25
Alice Deejay,"6,5,4",Chorus,Better off Alone,3 chord,Better Off Alone,Alice Deejay,206242.0,1185253.0,"dance, trance, techno, electronic, eurodance",,,,
Alice In Chains,"1,5,2",Chorus,Man In The Box,3 chord,Man in the Box,Alice in Chains,599101.0,3999367.0,"Grunge, rock, 90s, hard rock, Alice in Chains",,,,
Alice In Chains,"1,5,4",Verse,Nutshell,3 chord,Nutshell,Alice in Chains,414850.0,3478979.0,"Grunge, rock, 90s, Alice in Chains, alternative",,,,
Alicia Keys,"1,4,5",Verse,Girl On Fire,3 chord,Girl on Fire,Alicia Keys,264188.0,1419209.0,"pop, soul, rnb, female vocalists, 2012",,,,
Alicia Keys,"1,5,6",Intro,No One,3 chord,No One,Alicia Keys,665711.0,3736991.0,"soul, rnb, Alicia Keys, female vocalists, pop",No One,Alicia Keys,81.0,2007-11-09
Alison Krauss,"1,5,4",Verse,Down To The River To Pray,3 chord,Down to the River to Pray,Alison Krauss,136452.0,542900.0,"bluegrass, country, female vocalists, Soundtrack, spiritual",,,,
Alizee,"6,4,2",Chorus,Moi Lolita,3 chord,Moi... Lolita,Alizée,116500.0,830415.0,"french, pop, french pop, female vocalists, lolita",Moi... Lolita,Alizée,60.0,2000-11-21
Alkaline Trio,"1,6,5",Intro,Help Me,3 chord,Help Me,Alkaline Trio,79259.0,561175.0,"punk rock, rock, punk, Awesome, alternative",Help Me,Alkaline Trio,40.0,2008-07-01
Alkaline Trio,"1,5,6",Pre-Chorus and Chorus,Radio,3 chord,Radio,Alkaline Trio,142569.0,960424.0,"punk, punk rock, rock, alternative, emo",,,,
All American Rejects,"4,6,5",Chorus,Gives You Hell,3 chord,Gives You Hell,The All-American Rejects,671529.0,4729280.0,"rock, alternative, pop rock, alternative rock, catchy",Gives You Hell,The All-American Rejects,73.0,2008-01-01
All Levels at Once,"1,5,6",Chorus,Phoenix,3 chord,Phoenix,All Levels at Once,205.0,1500.0,electronic,,,,
All My Friends ft Tinashe - Chance The Rapper,"1,4,1",Verse,Snakehips,3 chord,,,,,,,,,
Allemaal Door Jou,"6,2,5",Verse,Bart Peeters,3 chord,Bart Peeters,Allemaal Door Jou,2.0,3.0,,,,,
Allen Watts,"4,5,6",Chorus,Gravity,3 chord,Gravity,Allen Watts,919.0,3701.0,best of 2015,,,,
Alligatoah,"1,5,6",Chorus,Lass Liegen,3 chord,Lass liegen,Alligatoah,10173.0,81412.0,"german, Hip-Hop, hip hop, rap, Deutschrap",Lass liegen,Alligatoah,53.0,2015-11-27
Alligatoah,"1,5,6",Pre-Chorus and Chorus,Narben,3 chord,Narben,Alligatoah,23117.0,196474.0,"rap, Hip-Hop, hip hop, pop, german",Narben,Alligatoah,57.0,2013-08-02
Alligatoah,"1,5,6",Chorus Lead-Out,Trauerfeier Lied,3 chord,Trauerfeier Lied,Alligatoah,21080.0,163988.0,"Hip-Hop, hip hop, rap, german, Deutschrap",Trauerfeier Lied,Alligatoah,56.0,2013-08-02
Alligatoah,"1,5,1",Chorus,Wer Weiss,3 chord,Wer weiß,Alligatoah,20014.0,164799.0,"Hip-Hop, hip hop, rap, german, Deutschrap",Wer weiß,Alligatoah,54.0,2013-08-02
Alligatoah,"1,2,5",Chorus Lead-Out,Willst Du,3 chord,Willst du,Alligatoah,60879.0,603094.0,"german, pop, rap, deutsch, german hiphop",Willst du,Alligatoah,67.0,2013-08-02
Allstar Weekend,"1,5,2",Chorus,Hey Princess,3 chord,"Hey, Princess",Allstar Weekend,14515.0,61123.0,"pop rock, <3, pop, Paramore, cool","Hey, Princess",Allstar Weekend,41.0,2010-01-01
Aloe Blacc,"6,5,2",Chorus,I Need A Dollar,3 chord,I Need a Dollar,Aloe Blacc,461413.0,3036831.0,"soul, Neo-Soul, indie, 2010, best of 2010",,,,
Aloe Blacc,"1,2,1",Chorus,The Man,3 chord,The Man,Aloe Blacc,240750.0,1333640.0,"soul, 2014, pop, rnb, The Man",The Man,Aloe Blacc,61.0,2014-01-01
Alphabeat,"1,5,6",Chorus,Vacation,3 chord,Vacation,Alphabeat,12376.0,75819.0,"pop, danish, dance, pop rock, catchy",,,,
Alphaville,"4,1,5",Intro,Big In Japan,3 chord,Big In Japan,Alphaville,329951.0,1713498.0,"80s, pop, new wave, synthpop, synth pop",,,,
Alphaville,"1,5,6",Verse,Forever Young,3 chord,Forever Young,Alphaville,534407.0,2994706.0,"80s, pop, synthpop, new wave, synth pop",Forever Young,Alphaville,75.0,1984-09-27
Alstroemeria Records,"4,5,6",Chorus,Lovelight - Bad Apple,3 chord,,,,,,,,,
Alt-J,"6,1,3",Chorus,Breezeblocks,3 chord,Breezeblocks,alt-J,695451.0,8082631.0,"indie, alternative, british, 10s, indie rock",Breezeblocks,alt-J,75.0,2012-09-18
Alt-J,"4,6,5",Verse,Matilda,3 chord,Matilda,alt-J,388783.0,3542894.0,"indie, indie rock, alternative, 10s, folk",Matilda,alt-J,57.0,2012-09-18
Alt-J,"1,6,4",Verse,Something Good,3 chord,Something Good,alt-J,449183.0,4256716.0,"indie, indie rock, art rock, life is strange, alternative",Something Good,alt-J,58.0,2012-09-18
Alter Bridge,"6,5,4",Chorus,Watch Over You,3 chord,Watch Over You,Alter Bridge,169576.0,1191013.0,"rock, alternative rock, alternative, rock ballad, hard rock",Watch Over You,Alter Bridge,63.0,2007-01-01
AlunaGeorge,"1,2,4",Instrumental,Supernatural,3 chord,Supernatural,AlunaGeorge,80388.0,336847.0,"electronic, trip-hop, indie, british, alternative",Supernatural,AlunaGeorge,45.0,2014-10-06
AlunaGeorge,"6,4,2",Intro,Your Drums Your Love,3 chord,Your Drums Your Love,AlunaGeorge,2658.0,12905.0,"night, quirky",,,,
Alvaro Soler,"1,5,2",Chorus,Sofia,3 chord,Sofia,Alvaro Soler,55580.0,380182.0,"spanish, pop, latin, Sommer, spanisch",Sofia,Alvaro Soler,62.0,2016-07-15
Alvvays,"1,5,2",Verse,Archie Marry Me,3 chord,"Archie, Marry Me",Alvvays,174440.0,1336066.0,"indie, indie rock, dream pop, boys name, garage","Archie, Marry Me",Alvvays,61.0,2014-07-22
